2025-03-27 16:14:18.212767: Волк (2, 7) съел Олень на (2, 8). Голод: 0
2025-03-27 16:14:18.996221: Олень (11, 11) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:19.005434: Олень (8, 3) съел растение на (9, 3). Голод: 0
2025-03-27 16:14:19.014645: Олень (8, 10) съел растение на (8, 9). Голод: 0
2025-03-27 16:14:19.024878: Олень (3, 16) съел растение на (4, 17). Голод: 0
2025-03-27 16:14:19.034046: Олень (10, 1) съел растение на (11, 0). Голод: 0
2025-03-27 16:14:19.043265: Олень (11, 11) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:19.052468: Олень (16, 9) съел растение на (15, 10). Голод: 0
2025-03-27 16:14:19.061766: Олень (1, 15) съел растение на (1, 14). Голод: 0
2025-03-27 16:14:19.071919: Олень (16, 1) съел растение на (16, 0). Голод: 0
2025-03-27 16:14:19.081178: Олень (5, 19) съел растение на (4, 18). Голод: 0
2025-03-27 16:14:19.090308: Олень (4, 9) съел растение на (3, 9). Голод: 0
2025-03-27 16:14:19.099526: Олень (19, 13) съел растение на (19, 13). Голод: 0
2025-03-27 16:14:19.108768: Олень (12, 14) съел растение на (11, 15). Голод: 0
2025-03-27 16:14:19.118019: Олень (3, 4) съел растение на (4, 4). Голод: 0
2025-03-27 16:14:19.128208: Олень (16, 18) съел растение на (17, 18). Голод: 0
2025-03-27 16:14:19.137424: Олень (4, 16) съел растение на (4, 17). Голод: 0
2025-03-27 16:14:19.146563: Олень (7, 17) съел растение на (6, 17). Голод: 0
2025-03-27 16:14:19.155709: Олень (3, 3) съел растение на (4, 2). Голод: 0
2025-03-27 16:14:19.164960: Олень (12, 18) съел растение на (12, 19). Голод: 0
2025-03-27 16:14:19.174099: Олень (0, 7) съел растение на (1, 8). Голод: 0
2025-03-27 16:14:19.183336: Олень (2, 11) съел растение на (2, 12). Голод: 0
2025-03-27 16:14:19.193449: Олень (0, 9) съел растение на (0, 10). Голод: 0
2025-03-27 16:14:19.202714: Олень (1, 17) съел растение на (0, 17). Голод: 0
2025-03-27 16:14:19.212950: Олень (8, 0) съел растение на (8, 0). Голод: 0
2025-03-27 16:14:19.223091: Олень (7, 2) съел растение на (7, 3). Голод: 0
2025-03-27 16:14:19.232359: Олень (2, 8) съел растение на (3, 9). Голод: 0
2025-03-27 16:14:19.241624: Олень (11, 13) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:19.250778: Олень (1, 19) съел растение на (1, 19). Голод: 0
2025-03-27 16:14:19.260940: Олень (18, 13) съел растение на (18, 13). Голод: 0
2025-03-27 16:14:19.271216: Олень (3, 3) съел растение на (4, 3). Голод: 0
2025-03-27 16:14:19.280476: Олень (16, 14) съел растение на (15, 14). Голод: 0
2025-03-27 16:14:19.290776: Олень (1, 19) съел растение на (1, 18). Голод: 0
2025-03-27 16:14:19.306077: Волк переместился с (5, 13) в (6, 13). Голод: 1
2025-03-27 16:14:19.311201: Волк переместился с (2, 7) в (1, 6). Голод: 1
2025-03-27 16:14:19.320512: Волк переместился с (4, 14) в (5, 14). Голод: 1
2025-03-27 16:14:19.329686: Волк переместился с (16, 14) в (15, 14). Голод: 1
2025-03-27 16:14:19.339900: Волк переместился с (16, 8) в (17, 9). Голод: 1
2025-03-27 16:14:19.349125: Волк переместился с (17, 16) в (18, 17). Голод: 1
2025-03-27 16:14:19.358370: Волк переместился с (5, 1) в (6, 2). Голод: 1
2025-03-27 16:14:19.367662: Волк переместился с (5, 0) в (4, 0). Голод: 1
2025-03-27 16:14:19.378871: Волк переместился с (5, 8) в (5, 9). Голод: 1
2025-03-27 16:14:19.388001: Волк переместился с (4, 10) в (3, 11). Голод: 1
2025-03-27 16:14:19.397253: Волк переместился с (6, 7) в (7, 7). Голод: 1
2025-03-27 16:14:19.407393: Волк переместился с (8, 5) в (8, 4). Голод: 1
2025-03-27 16:14:19.416528: Волк переместился с (5, 13) в (4, 12). Голод: 1
2025-03-27 16:14:19.426519: Волк переместился с (4, 3) в (5, 3). Голод: 1
2025-03-27 16:14:19.435637: Волк переместился с (1, 18) в (0, 17). Голод: 1
2025-03-27 16:14:19.444913: Волк переместился с (13, 10) в (12, 9). Голод: 1
2025-03-27 16:14:19.455122: Волк переместился с (1, 1) в (1, 2). Голод: 1
2025-03-27 16:14:19.464423: Волк переместился с (7, 3) в (7, 4). Голод: 1
2025-03-27 16:14:19.473660: Волк переместился с (14, 10) в (15, 10). Голод: 1
2025-03-27 16:14:19.483895: Волк переместился с (14, 7) в (13, 8). Голод: 1
2025-03-27 16:14:19.494083: Волк переместился с (11, 18) в (10, 18). Голод: 1
2025-03-27 16:14:19.503211: Волк переместился с (2, 10) в (3, 9). Голод: 1
2025-03-27 16:14:19.513453: Волк переместился с (17, 15) в (16, 15). Голод: 1
2025-03-27 16:14:19.522719: Волк переместился с (16, 2) в (17, 3). Голод: 1
2025-03-27 16:14:19.532973: Волк переместился с (15, 4) в (14, 4). Голод: 1
2025-03-27 16:14:19.542235: Волк переместился с (12, 9) в (13, 10). Голод: 1
2025-03-27 16:14:19.551485: Волк переместился с (6, 14) в (7, 15). Голод: 1
2025-03-27 16:14:19.561708: Волк переместился с (5, 3) в (4, 3). Голод: 1
2025-03-27 16:14:19.570849: Волк переместился с (0, 8) в (0, 9). Голод: 1
2025-03-27 16:14:19.580927: Волк переместился с (9, 0) в (8, 1). Голод: 1
2025-03-27 16:14:19.591201: Волк переместился с (14, 9) в (15, 8). Голод: 1
2025-03-27 16:14:19.601436: Волк переместился с (17, 17) в (16, 16). Голод: 1
2025-03-27 16:14:19.611695: Волк переместился с (8, 1) в (7, 0). Голод: 1
2025-03-27 16:14:19.621959: Волк переместился с (6, 0) в (6, 19). Голод: 1
2025-03-27 16:14:19.631268: Волк переместился с (12, 3) в (13, 3). Голод: 1
2025-03-27 16:14:19.641453: Волк переместился с (7, 15) в (8, 16). Голод: 1
2025-03-27 16:14:19.650724: Волк переместился с (13, 7) в (13, 6). Голод: 1
2025-03-27 16:14:19.659969: Волк переместился с (17, 9) в (18, 8). Голод: 1
2025-03-27 16:14:19.670215: Волк переместился с (18, 2) в (18, 3). Голод: 1
2025-03-27 16:14:19.679356: Волк переместился с (11, 19) в (10, 0). Голод: 1
2025-03-27 16:14:19.689555: Волк переместился с (2, 0) в (3, 1). Голод: 1
2025-03-27 16:14:19.698826: Волк переместился с (1, 7) в (2, 6). Голод: 1
2025-03-27 16:14:19.708982: Волк переместился с (17, 18) в (18, 19). Голод: 1
2025-03-27 16:14:19.718206: Волк переместился с (8, 9) в (9, 10). Голод: 1
2025-03-27 16:14:19.727350: Волк переместился с (4, 16) в (3, 17). Голод: 1
2025-03-27 16:14:19.736518: Волк переместился с (11, 14) в (12, 13). Голод: 1
2025-03-27 16:14:19.746685: Волк переместился с (19, 12) в (0, 12). Голод: 1
2025-03-27 16:14:19.755932: Олень переместился с (2, 11) в (3, 12). Голод: 1
2025-03-27 16:14:19.766194: Олень переместился с (15, 14) в (14, 13). Голод: 1
2025-03-27 16:14:19.776505: Олень переместился с (18, 13) в (17, 13). Голод: 1
2025-03-27 16:14:19.786775: Олень переместился с (16, 7) в (16, 8). Голод: 1
2025-03-27 16:14:19.796998: Олень переместился с (2, 2) в (1, 1). Голод: 1
2025-03-27 16:14:19.806254: Олень переместился с (10, 0) в (11, 0). Голод: 1
2025-03-27 16:14:19.815526: Олень переместился с (17, 4) в (16, 4). Голод: 1
2025-03-27 16:14:19.824653: Олень переместился с (1, 3) в (0, 4). Голод: 1
2025-03-27 16:14:19.834243: Олень переместился с (2, 7) в (3, 7). Голод: 1
2025-03-27 16:14:19.843585: Олень переместился с (8, 7) в (8, 6). Голод: 1
2025-03-27 16:14:19.852724: Олень переместился с (7, 7) в (6, 6). Голод: 1
2025-03-27 16:14:19.862981: Олень переместился с (6, 6) в (5, 6). Голод: 1
2025-03-27 16:14:19.872256: Олень переместился с (13, 19) в (14, 19). Голод: 1
2025-03-27 16:14:19.881528: Олень переместился с (8, 0) в (8, 1). Голод: 1
2025-03-27 16:14:19.890668: Олень переместился с (0, 1) в (19, 2). Голод: 1
2025-03-27 16:14:19.900885: Олень переместился с (16, 12) в (15, 11). Голод: 1
2025-03-27 16:14:19.910180: Олень переместился с (12, 15) в (11, 15). Голод: 1
2025-03-27 16:14:19.919410: Олень переместился с (12, 13) в (13, 12). Голод: 1
2025-03-27 16:14:19.929670: Олень переместился с (12, 10) в (13, 11). Голод: 1
2025-03-27 16:14:19.938900: Олень переместился с (16, 13) в (15, 12). Голод: 1
2025-03-27 16:14:19.948026: Олень переместился с (4, 7) в (4, 8). Голод: 1
2025-03-27 16:14:19.957322: Олень переместился с (13, 11) в (14, 11). Голод: 1
2025-03-27 16:14:19.966633: Олень переместился с (16, 3) в (17, 2). Голод: 1
2025-03-27 16:14:19.975785: Олень переместился с (12, 7) в (11, 6). Голод: 1
2025-03-27 16:14:19.985039: Олень переместился с (3, 0) в (2, 1). Голод: 1
2025-03-27 16:14:19.994272: Олень переместился с (18, 7) в (19, 7). Голод: 1
2025-03-27 16:14:20.004164: Олень переместился с (18, 8) в (19, 9). Голод: 1
2025-03-27 16:14:20.013593: Олень переместился с (9, 12) в (10, 12). Голод: 1
2025-03-27 16:14:20.022779: Олень переместился с (12, 3) в (13, 4). Голод: 1
2025-03-27 16:14:20.032048: Олень переместился с (18, 3) в (18, 4). Голод: 1
2025-03-27 16:14:20.041278: Олень переместился с (19, 18) в (18, 18). Голод: 1
2025-03-27 16:14:20.050540: Олень переместился с (6, 0) в (5, 19). Голод: 1
2025-03-27 16:14:20.060701: Олень переместился с (11, 12) в (11, 13). Голод: 1
2025-03-27 16:14:20.068963: Олень переместился с (9, 3) в (10, 4). Голод: 1
2025-03-27 16:14:20.078222: Олень переместился с (13, 0) в (12, 19). Голод: 1
2025-03-27 16:14:20.087315: Олень переместился с (6, 18) в (5, 17). Голод: 1
2025-03-27 16:14:20.096550: Олень переместился с (9, 4) в (8, 5). Голод: 1
2025-03-27 16:14:20.105809: Олень переместился с (17, 10) в (16, 9). Голод: 1
2025-03-27 16:14:20.113953: Олень переместился с (1, 12) в (0, 11). Голод: 1
2025-03-27 16:14:20.123204: Олень переместился с (8, 19) в (7, 0). Голод: 1
2025-03-27 16:14:20.132543: Олень переместился с (15, 4) в (14, 3). Голод: 1
2025-03-27 16:14:20.141784: Олень переместился с (13, 13) в (12, 12). Голод: 1
2025-03-27 16:14:20.149907: Олень переместился с (7, 13) в (8, 13). Голод: 1
2025-03-27 16:14:20.159213: Олень переместился с (9, 2) в (10, 2). Голод: 1
2025-03-27 16:14:20.167346: Олень переместился с (3, 5) в (3, 4). Голод: 1
2025-03-27 16:14:20.176650: Олень переместился с (3, 17) в (2, 16). Голод: 1
2025-03-27 16:14:20.185892: Олень переместился с (2, 18) в (3, 19). Голод: 1
2025-03-27 16:14:20.194018: Олень переместился с (8, 7) в (9, 8). Голод: 1
2025-03-27 16:14:20.203265: Олень переместился с (15, 13) в (16, 13). Голод: 1
2025-03-27 16:14:20.211527: Олень переместился с (18, 13) в (17, 13). Голод: 1
2025-03-27 16:14:20.220604: Олень переместился с (1, 18) в (0, 18). Голод: 1
2025-03-27 16:14:20.229855: Олень переместился с (12, 9) в (11, 9). Голод: 1
2025-03-27 16:14:20.238128: Олень переместился с (13, 2) в (14, 3). Голод: 1
2025-03-27 16:14:20.247397: Олень переместился с (2, 5) в (3, 4). Голод: 1
2025-03-27 16:14:20.256525: Олень переместился с (11, 11) в (11, 12). Голод: 1
2025-03-27 16:14:20.264852: Олень переместился с (8, 3) в (7, 2). Голод: 1
2025-03-27 16:14:20.274077: Олень переместился с (8, 10) в (7, 9). Голод: 1
2025-03-27 16:14:20.283247: Олень переместился с (13, 14) в (12, 13). Голод: 1
2025-03-27 16:14:20.292403: Олень переместился с (3, 16) в (2, 16). Голод: 1
2025-03-27 16:14:20.301660: Олень переместился с (11, 11) в (10, 11). Голод: 1
2025-03-27 16:14:20.310959: Олень переместился с (8, 5) в (8, 4). Голод: 1
2025-03-27 16:14:20.320047: Олень переместился с (16, 1) в (17, 0). Голод: 1
2025-03-27 16:14:20.347713: Олень переместился с (17, 10) в (18, 9). Голод: 1
2025-03-27 16:14:20.375311: Олень переместился с (4, 9) в (3, 9). Голод: 1
2025-03-27 16:14:20.402902: Олень переместился с (19, 13) в (19, 14). Голод: 1
2025-03-27 16:14:20.431559: Олень переместился с (12, 14) в (12, 13). Голод: 1
2025-03-27 16:14:20.439698: Олень переместился с (3, 4) в (4, 3). Голод: 1
2025-03-27 16:14:20.449944: Олень переместился с (4, 16) в (3, 17). Голод: 1
2025-03-27 16:14:20.459231: Олень переместился с (17, 16) в (16, 17). Голод: 1
2025-03-27 16:14:20.468538: Олень переместился с (7, 17) в (7, 16). Голод: 1
2025-03-27 16:14:20.477724: Олень переместился с (3, 3) в (3, 4). Голод: 1
2025-03-27 16:14:20.486846: Олень переместился с (12, 18) в (12, 19). Голод: 1
2025-03-27 16:14:20.496108: Олень переместился с (0, 7) в (0, 6). Голод: 1
2025-03-27 16:14:20.506362: Олень переместился с (2, 11) в (2, 12). Голод: 1
2025-03-27 16:14:20.514520: Олень переместился с (13, 4) в (13, 5). Голод: 1
2025-03-27 16:14:20.523652: Олень переместился с (17, 8) в (16, 7). Голод: 1
2025-03-27 16:14:20.533908: Олень переместился с (0, 9) в (0, 10). Голод: 1
2025-03-27 16:14:20.543208: Олень переместился с (1, 17) в (1, 16). Голод: 1
2025-03-27 16:14:20.552417: Олень переместился с (8, 0) в (9, 0). Голод: 1
2025-03-27 16:14:20.562668: Олень переместился с (1, 0) в (2, 19). Голод: 1
2025-03-27 16:14:20.571933: Олень переместился с (7, 2) в (7, 3). Голод: 1
2025-03-27 16:14:20.582065: Олень переместился с (2, 8) в (3, 9). Голод: 1
2025-03-27 16:14:20.591358: Олень переместился с (11, 13) в (10, 13). Голод: 1
2025-03-27 16:14:20.601530: Олень переместился с (1, 19) в (0, 18). Голод: 1
2025-03-27 16:14:20.612739: Олень переместился с (18, 13) в (17, 14). Голод: 1
2025-03-27 16:14:20.622949: Олень переместился с (16, 14) в (15, 13). Голод: 1
2025-03-27 16:14:20.633164: Олень переместился с (1, 19) в (2, 19). Голод: 1
2025-03-27 16:14:20.653580: Волк (15, 14) съел Олень на (15, 13). Голод: 0
2025-03-27 16:14:20.654587: Волк (17, 9) съел Олень на (18, 9). Голод: 0
2025-03-27 16:14:20.665591: Волк (6, 2) съел Олень на (7, 3). Голод: 0
2025-03-27 16:14:20.678581: Волк (3, 11) съел Олень на (2, 12). Голод: 0
2025-03-27 16:14:20.688580: Волк (8, 4) съел Олень на (7, 3). Голод: 0
2025-03-27 16:14:20.697583: Волк (4, 12) съел Олень на (3, 12). Голод: 0
2025-03-27 16:14:20.707582: Волк (7, 4) съел Олень на (7, 3). Голод: 0
2025-03-27 16:14:20.717586: Волк (7, 15) съел Олень на (7, 16). Голод: 0
2025-03-27 16:14:20.728750: Волк (15, 8) съел Олень на (16, 9). Голод: 0
2025-03-27 16:14:20.741014: Волк (16, 16) съел Олень на (16, 17). Голод: 0
2025-03-27 16:14:20.752179: Волк (18, 8) съел Олень на (19, 7). Голод: 0
2025-03-27 16:14:20.760447: Волк (10, 0) съел Олень на (11, 0). Голод: 0
2025-03-27 16:14:20.769656: Волк (9, 10) съел Олень на (10, 11). Голод: 0
2025-03-27 16:14:20.796241: Волк (3, 17) съел Олень на (2, 16). Голод: 0
2025-03-27 16:14:20.806463: Волк (0, 12) съел Олень на (1, 11). Голод: 0
2025-03-27 16:14:20.815735: Олень (3, 12) съел растение на (4, 11). Голод: 0
2025-03-27 16:14:20.824829: Олень (11, 0) съел растение на (11, 1). Голод: 0
2025-03-27 16:14:20.834084: Олень (16, 4) съел растение на (15, 3). Голод: 0
2025-03-27 16:14:20.843294: Олень (19, 0) съел растение на (18, 1). Голод: 0
2025-03-27 16:14:20.852515: Олень (8, 6) съел растение на (9, 6). Голод: 0
2025-03-27 16:14:20.864611: Олень (13, 11) съел растение на (14, 10). Голод: 0
2025-03-27 16:14:20.876800: Олень (2, 1) съел растение на (3, 2). Голод: 0
2025-03-27 16:14:20.885958: Олень (19, 7) съел растение на (18, 6). Голод: 0
2025-03-27 16:14:20.896170: Олень (12, 19) съел растение на (11, 18). Голод: 0
2025-03-27 16:14:20.905417: Олень (5, 17) съел растение на (6, 16). Голод: 0
2025-03-27 16:14:20.914580: Олень (12, 12) съел растение на (12, 13). Голод: 0
2025-03-27 16:14:20.923710: Олень (8, 13) съел растение на (8, 14). Голод: 0
2025-03-27 16:14:20.932015: Олень (1, 11) съел растение на (0, 11). Голод: 0
2025-03-27 16:14:20.941232: Олень (10, 2) съел растение на (10, 3). Голод: 0
2025-03-27 16:14:20.967666: Олень (2, 16) съел растение на (1, 16). Голод: 0
2025-03-27 16:14:20.967666: Олень (9, 8) съел растение на (8, 8). Голод: 0
2025-03-27 16:14:20.976957: Олень (0, 18) съел растение на (0, 17). Голод: 0
2025-03-27 16:14:20.986127: Олень (11, 12) съел растение на (12, 13). Голод: 0
2025-03-27 16:14:20.995358: Олень (1, 15) съел растение на (1, 16). Голод: 0
2025-03-27 16:14:21.003631: Олень (5, 19) съел растение на (4, 19). Голод: 0
2025-03-27 16:14:21.012763: Олень (19, 14) съел растение на (18, 13). Голод: 0
2025-03-27 16:14:21.022054: Олень (16, 17) съел растение на (15, 16). Голод: 0
2025-03-27 16:14:21.031313: Олень (7, 16) съел растение на (6, 15). Голод: 0
2025-03-27 16:14:21.040595: Олень (16, 7) съел растение на (17, 6). Голод: 0
2025-03-27 16:14:21.048774: Олень (0, 10) съел растение на (0, 11). Голод: 0
2025-03-27 16:14:21.058041: Олень (10, 13) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:21.067258: Олень (3, 3) съел растение на (4, 2). Голод: 0
2025-03-27 16:14:21.075431: Олень (2, 19) съел растение на (3, 19). Голод: 0
2025-03-27 16:14:21.087672: Волк переместился с (6, 13) в (5, 14). Голод: 3
2025-03-27 16:14:21.096768: Волк переместился с (5, 14) в (5, 15). Голод: 3
2025-03-27 16:14:21.109031: Волк переместился с (15, 14) в (16, 14). Голод: 1
2025-03-27 16:14:21.125301: Волк переместился с (17, 9) в (16, 10). Голод: 1
2025-03-27 16:14:21.137481: Волк переместился с (18, 17) в (19, 16). Голод: 3
2025-03-27 16:14:21.146689: Волк переместился с (6, 2) в (7, 1). Голод: 1
2025-03-27 16:14:21.156870: Волк переместился с (4, 0) в (5, 19). Голод: 3
2025-03-27 16:14:21.167038: Волк переместился с (5, 9) в (5, 8). Голод: 3
2025-03-27 16:14:21.176296: Волк переместился с (3, 11) в (3, 10). Голод: 1
2025-03-27 16:14:21.185510: Волк переместился с (8, 4) в (8, 5). Голод: 1
2025-03-27 16:14:21.195632: Волк переместился с (1, 2) в (0, 3). Голод: 3
2025-03-27 16:14:21.204933: Волк переместился с (7, 4) в (7, 3). Голод: 1
2025-03-27 16:14:21.214194: Волк переместился с (13, 8) в (12, 7). Голод: 3
2025-03-27 16:14:21.224402: Волк переместился с (3, 9) в (2, 8). Голод: 3
2025-03-27 16:14:21.233662: Волк переместился с (17, 3) в (17, 4). Голод: 3
2025-03-27 16:14:21.243966: Волк переместился с (14, 4) в (15, 3). Голод: 3
2025-03-27 16:14:21.261273: Волк переместился с (7, 15) в (7, 16). Голод: 1
2025-03-27 16:14:21.277699: Волк переместился с (4, 3) в (5, 2). Голод: 3
2025-03-27 16:14:21.295148: Волк переместился с (0, 9) в (19, 10). Голод: 3
2025-03-27 16:14:21.312457: Волк переместился с (5, 2) в (4, 3). Голод: 3
2025-03-27 16:14:21.329783: Волк переместился с (15, 8) в (15, 9). Голод: 1
2025-03-27 16:14:21.348125: Волк переместился с (16, 16) в (15, 15). Голод: 1
2025-03-27 16:14:21.384762: Волк переместился с (7, 0) в (6, 0). Голод: 3
2025-03-27 16:14:21.407763: Волк переместился с (6, 19) в (7, 18). Голод: 3
2025-03-27 16:14:21.459692: Волк переместился с (13, 3) в (14, 2). Голод: 3
2025-03-27 16:14:21.477082: Волк переместился с (13, 6) в (13, 5). Голод: 3
2025-03-27 16:14:21.493348: Волк переместился с (18, 8) в (17, 8). Голод: 1
2025-03-27 16:14:21.510634: Волк переместился с (18, 3) в (18, 4). Голод: 3
2025-03-27 16:14:21.528006: Волк переместился с (10, 0) в (11, 19). Голод: 1
2025-03-27 16:14:21.545320: Волк переместился с (14, 3) в (14, 4). Голод: 3
2025-03-27 16:14:21.563094: Волк переместился с (3, 1) в (4, 2). Голод: 3
2025-03-27 16:14:21.579345: Волк переместился с (18, 19) в (18, 0). Голод: 3
2025-03-27 16:14:21.596823: Волк переместился с (3, 17) в (2, 18). Голод: 1
