2025-03-27 16:22:30.905466: Волк (11, 9) съел Олень на (12, 10). Голод: 0
2025-03-27 16:22:31.228682: Волк (18, 19) съел Олень на (17, 18). Голод: 0
2025-03-27 16:22:31.241102: Волк (11, 17) съел Олень на (10, 16). Голод: 0
2025-03-27 16:22:31.253385: Волк (12, 11) съел Олень на (11, 10). Голод: 0
2025-03-27 16:22:31.265818: Волк (6, 18) съел Олень на (5, 17). Голод: 0
2025-03-27 16:22:31.278134: Волк (0, 3) съел Олень на (0, 3). Голод: 0
2025-03-27 16:22:31.291591: Волк (14, 5) съел Олень на (15, 6). Голод: 0
2025-03-27 16:22:31.303877: Волк (1, 2) съел Олень на (1, 2). Голод: 0
2025-03-27 16:22:31.316176: Волк (2, 4) съел Олень на (3, 5). Голод: 0
2025-03-27 16:22:31.328541: Волк (10, 3) съел Олень на (11, 3). Голод: 0
2025-03-27 16:22:31.340984: Волк (4, 12) съел Олень на (5, 13). Голод: 0
2025-03-27 16:22:31.354280: Волк (17, 2) съел Олень на (17, 2). Голод: 0
2025-03-27 16:22:31.367733: Олень (1, 13) съел растение на (0, 12). Голод: 0
2025-03-27 16:22:31.379023: Олень (17, 11) съел растение на (16, 10). Голод: 0
2025-03-27 16:22:31.411796: Олень (15, 0) съел растение на (15, 0). Голод: 0
2025-03-27 16:22:31.411796: Олень (11, 3) съел растение на (12, 2). Голод: 0
2025-03-27 16:22:31.426247: Олень (19, 3) съел растение на (19, 2). Голод: 0
2025-03-27 16:22:31.438540: Олень (5, 5) съел растение на (5, 6). Голод: 0
2025-03-27 16:22:31.447772: Олень (0, 4) съел растение на (0, 3). Голод: 0
2025-03-27 16:22:31.455942: Олень (11, 10) съел растение на (10, 9). Голод: 0
2025-03-27 16:22:31.465096: Олень (18, 16) съел растение на (18, 16). Голод: 0
2025-03-27 16:22:31.473206: Олень (18, 9) съел растение на (17, 10). Голод: 0
2025-03-27 16:22:31.482469: Олень (3, 11) съел растение на (3, 11). Голод: 0
2025-03-27 16:22:31.491661: Олень (5, 14) съел растение на (5, 13). Голод: 0
2025-03-27 16:22:31.499782: Олень (7, 6) съел растение на (7, 6). Голод: 0
2025-03-27 16:22:31.508968: Олень (10, 2) съел растение на (9, 2). Голод: 0
2025-03-27 16:22:31.517273: Олень (1, 2) съел растение на (1, 1). Голод: 0
2025-03-27 16:22:31.526505: Олень (3, 5) съел растение на (2, 4). Голод: 0
2025-03-27 16:22:31.535621: Олень (5, 2) съел растение на (6, 2). Голод: 0
2025-03-27 16:22:31.546829: Олень (5, 13) съел растение на (5, 13). Голод: 0
2025-03-27 16:22:31.556927: Олень (16, 2) съел растение на (17, 3). Голод: 0
2025-03-27 16:22:31.567099: Олень (14, 12) съел растение на (15, 13). Голод: 0
2025-03-27 16:22:31.577316: Олень (0, 3) съел растение на (0, 3). Голод: 0
2025-03-27 16:22:31.586410: Олень (6, 18) съел растение на (6, 18). Голод: 0
2025-03-27 16:22:31.596673: Олень (1, 1) съел растение на (1, 1). Голод: 0
2025-03-27 16:22:31.605871: Олень (2, 7) съел растение на (1, 8). Голод: 0
2025-03-27 16:22:31.615050: Олень (19, 5) съел растение на (18, 6). Голод: 0
2025-03-27 16:22:31.624309: Олень (2, 3) съел растение на (2, 4). Голод: 0
2025-03-27 16:22:31.633428: Олень (14, 6) съел растение на (13, 7). Голод: 0
2025-03-27 16:22:31.641582: Олень (1, 10) съел растение на (2, 9). Голод: 0
2025-03-27 16:22:31.650832: Олень (14, 18) съел растение на (15, 19). Голод: 0
2025-03-27 16:22:31.659975: Олень (13, 8) съел растение на (12, 9). Голод: 0
2025-03-27 16:22:31.668099: Олень (9, 14) съел растение на (9, 14). Голод: 0
2025-03-27 16:22:31.677256: Олень (5, 13) съел растение на (6, 12). Голод: 0
2025-03-27 16:22:31.686411: Олень (13, 1) съел растение на (12, 2). Голод: 0
2025-03-27 16:22:31.698494: Олень (16, 5) съел растение на (17, 5). Голод: 0
2025-03-27 16:22:31.708715: Олень (0, 3) съел растение на (0, 2). Голод: 0
2025-03-27 16:22:31.717792: Олень (3, 18) съел растение на (2, 17). Голод: 0
2025-03-27 16:22:31.727055: Олень (17, 6) съел растение на (16, 7). Голод: 0
2025-03-27 16:22:31.736265: Олень (12, 14) съел растение на (11, 13). Голод: 0
2025-03-27 16:22:31.745417: Олень (17, 0) съел растение на (17, 1). Голод: 0
2025-03-27 16:22:31.753560: Олень (16, 17) съел растение на (17, 16). Голод: 0
2025-03-27 16:22:31.762716: Олень (10, 16) съел растение на (10, 15). Голод: 0
2025-03-27 16:22:31.771966: Олень (8, 12) съел растение на (8, 13). Голод: 0
2025-03-27 16:22:31.782136: Олень (5, 17) съел растение на (4, 16). Голод: 0
2025-03-27 16:22:31.791267: Олень (3, 3) съел растение на (2, 3). Голод: 0
2025-03-27 16:22:31.799443: Олень (17, 18) съел растение на (16, 18). Голод: 0
2025-03-27 16:22:31.808662: Олень (17, 16) съел растение на (18, 16). Голод: 0
2025-03-27 16:22:31.816797: Олень (14, 15) съел растение на (14, 15). Голод: 0
2025-03-27 16:22:31.825962: Олень (3, 15) съел растение на (3, 14). Голод: 0
2025-03-27 16:22:31.834044: Олень (6, 3) съел растение на (7, 2). Голод: 0
2025-03-27 16:22:31.843202: Олень (12, 10) съел растение на (12, 9). Голод: 0
2025-03-27 16:22:31.851469: Олень (6, 11) съел растение на (6, 12). Голод: 0
2025-03-27 16:22:31.860560: Олень (15, 7) съел растение на (16, 7). Голод: 0
2025-03-27 16:22:31.868836: Олень (11, 15) съел растение на (12, 15). Голод: 0
2025-03-27 16:22:31.878140: Олень (0, 7) съел растение на (0, 6). Голод: 0
2025-03-27 16:22:31.887377: Олень (14, 9) съел растение на (14, 10). Голод: 0
2025-03-27 16:22:31.895552: Олень (9, 13) съел растение на (9, 14). Голод: 0
2025-03-27 16:22:31.904739: Олень (16, 17) съел растение на (16, 18). Голод: 0
2025-03-27 16:22:31.914002: Олень (1, 10) съел растение на (2, 9). Голод: 0
2025-03-27 16:22:31.922109: Олень (8, 2) съел растение на (8, 3). Голод: 0
2025-03-27 16:22:31.931365: Олень (3, 8) съел растение на (4, 8). Голод: 0
2025-03-27 16:22:31.939637: Олень (9, 3) съел растение на (9, 2). Голод: 0
2025-03-27 16:22:31.947762: Олень (10, 19) съел растение на (11, 19). Голод: 0
2025-03-27 16:22:31.957066: Олень (14, 0) съел растение на (15, 0). Голод: 0
2025-03-27 16:22:31.966296: Олень (15, 6) съел растение на (16, 7). Голод: 0
2025-03-27 16:22:31.975470: Олень (3, 10) съел растение на (2, 9). Голод: 0
2025-03-27 16:22:31.985683: Олень (16, 10) съел растение на (17, 11). Голод: 0
2025-03-27 16:22:31.994981: Олень (4, 12) съел растение на (3, 11). Голод: 0
2025-03-27 16:22:32.004203: Олень (5, 0) съел растение на (6, 0). Голод: 0
2025-03-27 16:22:32.014423: Олень (18, 0) съел растение на (17, 1). Голод: 0
2025-03-27 16:22:32.023685: Олень (6, 11) съел растение на (6, 12). Голод: 0
2025-03-27 16:22:32.032861: Олень (5, 16) съел растение на (6, 17). Голод: 0
2025-03-27 16:22:32.043070: Олень (15, 8) съел растение на (16, 8). Голод: 0
2025-03-27 16:22:32.052323: Олень (7, 14) съел растение на (6, 13). Голод: 0
2025-03-27 16:22:32.061627: Олень (3, 0) съел растение на (4, 0). Голод: 0
2025-03-27 16:22:32.070853: Олень (18, 12) съел растение на (19, 11). Голод: 0
2025-03-27 16:22:32.080071: Олень (10, 9) съел растение на (10, 9). Голод: 0
2025-03-27 16:22:32.088199: Олень (10, 16) съел растение на (9, 17). Голод: 0
2025-03-27 16:22:32.097473: Олень (13, 4) съел растение на (14, 3). Голод: 0
2025-03-27 16:22:32.106631: Олень (6, 3) съел растение на (6, 2). Голод: 0
2025-03-27 16:22:32.115946: Олень (9, 19) съел растение на (10, 19). Голод: 0
2025-03-27 16:22:32.124257: Олень (4, 19) съел растение на (5, 19). Голод: 0
2025-03-27 16:22:32.133483: Олень (17, 2) съел растение на (17, 3). Голод: 0
2025-03-27 16:22:32.142634: Олень (7, 0) съел растение на (6, 0). Голод: 0
2025-03-27 16:22:32.151871: Олень (9, 1) съел растение на (9, 2). Голод: 0
2025-03-27 16:22:32.161005: Олень (12, 9) съел растение на (12, 9). Голод: 0
2025-03-27 16:22:32.169260: Олень (1, 8) съел растение на (1, 8). Голод: 0
2025-03-27 16:22:32.178127: Олень (5, 9) съел растение на (6, 8). Голод: 0
2025-03-27 16:22:32.187280: Олень (19, 18) съел растение на (18, 18). Голод: 0
2025-03-27 16:22:32.197479: Олень (11, 19) съел растение на (11, 19). Голод: 0
2025-03-27 16:22:32.206664: Олень (8, 0) съел растение на (7, 0). Голод: 0
2025-03-27 16:22:32.218829: Олень (15, 6) съел растение на (16, 7). Голод: 0
2025-03-27 16:22:32.240184: Волк переместился с (11, 9) в (12, 9). Голод: 1
2025-03-27 16:22:32.245275: Волк переместился с (3, 16) в (2, 16). Голод: 1
2025-03-27 16:22:32.256445: Волк переместился с (9, 0) в (10, 0). Голод: 1
2025-03-27 16:22:32.267626: Волк переместился с (9, 5) в (10, 4). Голод: 1
2025-03-27 16:22:32.280800: Волк переместился с (5, 12) в (5, 11). Голод: 1
2025-03-27 16:22:32.290955: Волк переместился с (14, 6) в (13, 5). Голод: 1
2025-03-27 16:22:32.303114: Волк переместился с (4, 11) в (4, 10). Голод: 1
2025-03-27 16:22:32.313291: Волк переместился с (10, 7) в (10, 8). Голод: 1
2025-03-27 16:22:32.323476: Волк переместился с (13, 10) в (13, 9). Голод: 1
2025-03-27 16:22:32.332698: Волк переместился с (4, 13) в (5, 12). Голод: 1
2025-03-27 16:22:32.340989: Волк переместился с (17, 19) в (17, 0). Голод: 1
2025-03-27 16:22:32.350109: Волк переместился с (16, 10) в (15, 9). Голод: 1
2025-03-27 16:22:32.360199: Волк переместился с (3, 18) в (2, 18). Голод: 1
2025-03-27 16:22:32.369353: Волк переместился с (18, 5) в (17, 5). Голод: 1
2025-03-27 16:22:32.378665: Волк переместился с (13, 19) в (13, 18). Голод: 1
2025-03-27 16:22:32.387910: Волк переместился с (14, 11) в (15, 11). Голод: 1
2025-03-27 16:22:32.397156: Волк переместился с (1, 5) в (0, 6). Голод: 1
2025-03-27 16:22:32.406288: Волк переместился с (1, 5) в (0, 4). Голод: 1
2025-03-27 16:22:32.415550: Волк переместился с (9, 1) в (10, 2). Голод: 1
2025-03-27 16:22:32.424683: Волк переместился с (14, 18) в (15, 17). Голод: 1
2025-03-27 16:22:32.434029: Волк переместился с (2, 11) в (1, 12). Голод: 1
2025-03-27 16:22:32.443269: Волк переместился с (10, 8) в (10, 7). Голод: 1
2025-03-27 16:22:32.452539: Волк переместился с (16, 2) в (15, 2). Голод: 1
2025-03-27 16:22:32.461766: Волк переместился с (8, 10) в (9, 10). Голод: 1
2025-03-27 16:22:32.470940: Волк переместился с (3, 10) в (2, 9). Голод: 1
2025-03-27 16:22:32.480149: Волк переместился с (2, 13) в (3, 12). Голод: 1
2025-03-27 16:22:32.488461: Волк переместился с (5, 19) в (4, 18). Голод: 1
2025-03-27 16:22:32.497561: Волк переместился с (19, 18) в (19, 17). Голод: 1
2025-03-27 16:22:32.506811: Волк переместился с (10, 16) в (9, 16). Голод: 1
2025-03-27 16:22:32.516069: Волк переместился с (3, 14) в (2, 15). Голод: 1
2025-03-27 16:22:32.525345: Волк переместился с (13, 18) в (14, 18). Голод: 1
2025-03-27 16:22:32.534507: Волк переместился с (15, 3) в (16, 2). Голод: 1
2025-03-27 16:22:32.543660: Волк переместился с (0, 8) в (0, 7). Голод: 1
2025-03-27 16:22:32.552920: Волк переместился с (12, 8) в (12, 7). Голод: 1
2025-03-27 16:22:32.562183: Волк переместился с (18, 19) в (17, 18). Голод: 1
2025-03-27 16:22:32.570370: Волк переместился с (11, 17) в (11, 18). Голод: 1
2025-03-27 16:22:32.579579: Волк переместился с (12, 11) в (13, 10). Голод: 1
2025-03-27 16:22:32.588839: Волк переместился с (6, 18) в (5, 17). Голод: 1
2025-03-27 16:22:32.597978: Волк переместился с (0, 3) в (19, 4). Голод: 1
2025-03-27 16:22:32.608245: Волк переместился с (12, 4) в (13, 4). Голод: 1
2025-03-27 16:22:32.617443: Волк переместился с (14, 5) в (14, 4). Голод: 1
2025-03-27 16:22:32.625878: Волк переместился с (8, 17) в (8, 16). Голод: 1
2025-03-27 16:22:32.635474: Волк переместился с (1, 2) в (2, 3). Голод: 1
2025-03-27 16:22:32.644630: Волк переместился с (2, 4) в (3, 5). Голод: 1
2025-03-27 16:22:32.653891: Волк переместился с (10, 3) в (10, 2). Голод: 1
2025-03-27 16:22:32.663161: Волк переместился с (4, 12) в (3, 11). Голод: 1
2025-03-27 16:22:32.672411: Волк переместился с (17, 2) в (18, 1). Голод: 1
2025-03-27 16:22:32.681545: Олень переместился с (1, 13) в (2, 13). Голод: 1
2025-03-27 16:22:32.690805: Олень переместился с (14, 2) в (14, 3). Голод: 1
2025-03-27 16:22:32.700064: Олень переместился с (15, 0) в (15, 1). Голод: 1
2025-03-27 16:22:32.709201: Олень переместился с (11, 3) в (10, 2). Голод: 1
2025-03-27 16:22:32.718435: Олень переместился с (19, 3) в (19, 4). Голод: 1
2025-03-27 16:22:32.727571: Олень переместился с (5, 5) в (4, 4). Голод: 1
2025-03-27 16:22:32.736835: Олень переместился с (0, 4) в (1, 5). Голод: 1
2025-03-27 16:22:32.745964: Олень переместился с (11, 10) в (12, 9). Голод: 1
2025-03-27 16:22:32.755228: Олень переместился с (18, 16) в (18, 17). Голод: 1
2025-03-27 16:22:32.764498: Олень переместился с (3, 11) в (4, 12). Голод: 1
2025-03-27 16:22:32.772647: Олень переместился с (5, 14) в (6, 13). Голод: 1
2025-03-27 16:22:32.782852: Олень переместился с (7, 6) в (6, 7). Голод: 1
2025-03-27 16:22:32.792115: Олень переместился с (10, 2) в (11, 2). Голод: 1
2025-03-27 16:22:32.800419: Олень переместился с (1, 2) в (2, 1). Голод: 1
2025-03-27 16:22:32.811573: Олень переместился с (3, 5) в (3, 6). Голод: 1
2025-03-27 16:22:32.822759: Олень переместился с (5, 2) в (4, 1). Голод: 1
2025-03-27 16:22:32.838205: Олень переместился с (18, 4) в (18, 3). Голод: 1
2025-03-27 16:22:32.850352: Олень переместился с (5, 13) в (6, 14). Голод: 1
2025-03-27 16:22:32.860565: Олень переместился с (16, 2) в (16, 3). Голод: 1
2025-03-27 16:22:32.869742: Олень переместился с (14, 12) в (13, 13). Голод: 1
2025-03-27 16:22:32.883096: Олень переместился с (0, 3) в (1, 2). Голод: 1
2025-03-27 16:22:32.893269: Олень переместился с (6, 18) в (5, 18). Голод: 1
2025-03-27 16:22:32.903429: Олень переместился с (1, 1) в (0, 1). Голод: 1
2025-03-27 16:22:32.912512: Олень переместился с (2, 7) в (2, 8). Голод: 1
2025-03-27 16:22:32.921812: Олень переместился с (19, 5) в (18, 4). Голод: 1
2025-03-27 16:22:32.930939: Олень переместился с (2, 3) в (3, 4). Голод: 1
2025-03-27 16:22:32.940123: Олень переместился с (14, 6) в (15, 7). Голод: 1
2025-03-27 16:22:32.949209: Олень переместился с (19, 1) в (18, 1). Голод: 1
2025-03-27 16:22:32.958480: Олень переместился с (14, 18) в (15, 19). Голод: 1
2025-03-27 16:22:32.968148: Олень переместился с (9, 14) в (9, 13). Голод: 1
2025-03-27 16:22:32.977446: Олень переместился с (5, 13) в (5, 12). Голод: 1
2025-03-27 16:22:32.986634: Олень переместился с (13, 1) в (12, 1). Голод: 1
2025-03-27 16:22:32.995832: Олень переместился с (16, 5) в (15, 5). Голод: 1
2025-03-27 16:22:33.005112: Олень переместился с (0, 3) в (19, 3). Голод: 1
2025-03-27 16:22:33.014247: Олень переместился с (3, 18) в (4, 18). Голод: 1
2025-03-27 16:22:33.023344: Олень переместился с (17, 6) в (17, 5). Голод: 1
2025-03-27 16:22:33.032611: Олень переместился с (12, 14) в (13, 13). Голод: 1
2025-03-27 16:22:33.041877: Олень переместился с (17, 0) в (17, 19). Голод: 1
2025-03-27 16:22:33.050050: Олень переместился с (7, 11) в (8, 10). Голод: 1
2025-03-27 16:22:33.060217: Олень переместился с (16, 17) в (17, 18). Голод: 1
2025-03-27 16:22:33.068522: Олень переместился с (0, 19) в (1, 19). Голод: 1
2025-03-27 16:22:33.077755: Олень переместился с (10, 16) в (9, 16). Голод: 1
2025-03-27 16:22:33.086908: Олень переместился с (3, 3) в (2, 3). Голод: 1
2025-03-27 16:22:33.096127: Олень переместился с (17, 16) в (17, 15). Голод: 1
2025-03-27 16:22:33.105438: Олень переместился с (14, 15) в (13, 14). Голод: 1
2025-03-27 16:22:33.114692: Олень переместился с (3, 15) в (2, 15). Голод: 1
2025-03-27 16:22:33.123853: Олень переместился с (12, 10) в (13, 9). Голод: 1
2025-03-27 16:22:33.132982: Олень переместился с (4, 1) в (4, 0). Голод: 1
2025-03-27 16:22:33.141251: Олень переместился с (15, 7) в (14, 8). Голод: 1
2025-03-27 16:22:33.150501: Олень переместился с (11, 15) в (10, 15). Голод: 1
2025-03-27 16:22:33.159708: Олень переместился с (0, 7) в (0, 8). Голод: 1
2025-03-27 16:22:33.167843: Олень переместился с (14, 9) в (15, 10). Голод: 1
2025-03-27 16:22:33.177146: Олень переместился с (9, 13) в (8, 12). Голод: 1
2025-03-27 16:22:33.186375: Олень переместился с (16, 17) в (16, 16). Голод: 1
2025-03-27 16:22:33.194554: Олень переместился с (1, 10) в (2, 11). Голод: 1
2025-03-27 16:22:33.203776: Олень переместился с (8, 2) в (7, 3). Голод: 1
2025-03-27 16:22:33.212994: Олень переместился с (1, 7) в (2, 6). Голод: 1
2025-03-27 16:22:33.222202: Олень переместился с (3, 8) в (4, 7). Голод: 1
2025-03-27 16:22:33.230342: Олень переместился с (9, 3) в (10, 3). Голод: 1
2025-03-27 16:22:33.239651: Олень переместился с (10, 19) в (11, 18). Голод: 1
2025-03-27 16:22:33.248868: Олень переместился с (3, 10) в (2, 11). Голод: 1
2025-03-27 16:22:33.257999: Олень переместился с (16, 10) в (17, 10). Голод: 1
2025-03-27 16:22:33.267212: Олень переместился с (4, 12) в (5, 13). Голод: 1
2025-03-27 16:22:33.275484: Олень переместился с (5, 0) в (6, 1). Голод: 1
2025-03-27 16:22:33.284687: Олень переместился с (6, 11) в (6, 12). Голод: 1
2025-03-27 16:22:33.293866: Олень переместился с (5, 16) в (5, 17). Голод: 1
2025-03-27 16:22:33.302171: Олень переместился с (15, 8) в (16, 9). Голод: 1
2025-03-27 16:22:33.311262: Олень переместился с (7, 14) в (6, 14). Голод: 1
2025-03-27 16:22:33.319567: Олень переместился с (3, 0) в (2, 19). Голод: 1
2025-03-27 16:22:33.328746: Олень переместился с (18, 12) в (19, 13). Голод: 1
2025-03-27 16:22:33.338010: Олень переместился с (10, 9) в (10, 8). Голод: 1
2025-03-27 16:22:33.347142: Олень переместился с (15, 13) в (14, 13). Голод: 1
2025-03-27 16:22:33.355398: Олень переместился с (10, 16) в (10, 15). Голод: 1
2025-03-27 16:22:33.364516: Олень переместился с (13, 4) в (14, 4). Голод: 1
2025-03-27 16:22:33.373772: Олень переместился с (9, 19) в (8, 19). Голод: 1
2025-03-27 16:22:33.382081: Олень переместился с (4, 19) в (4, 0). Голод: 1
2025-03-27 16:22:33.391170: Олень переместился с (17, 2) в (18, 3). Голод: 1
2025-03-27 16:22:33.400411: Олень переместился с (12, 9) в (12, 10). Голод: 1
2025-03-27 16:22:33.408735: Олень переместился с (1, 8) в (1, 9). Голод: 1
2025-03-27 16:22:33.417965: Олень переместился с (5, 9) в (6, 10). Голод: 1
2025-03-27 16:22:33.427133: Олень переместился с (19, 18) в (18, 17). Голод: 1
2025-03-27 16:22:33.437338: Олень переместился с (11, 19) в (10, 0). Голод: 1
2025-03-27 16:22:33.446595: Олень переместился с (8, 0) в (7, 0). Голод: 1
2025-03-27 16:22:33.455860: Олень переместился с (15, 6) в (15, 5). Голод: 1
2025-03-27 16:22:33.472166: Волк (5, 11) съел Олень на (6, 12). Голод: 0
2025-03-27 16:22:33.475164: Волк (5, 12) съел Олень на (6, 12). Голод: 0
2025-03-27 16:22:33.489161: Волк (17, 0) съел Олень на (18, 0). Голод: 0
2025-03-27 16:22:33.499208: Волк (9, 10) съел Олень на (8, 10). Голод: 0
2025-03-27 16:22:33.508161: Волк (2, 9) съел Олень на (2, 8). Голод: 0
2025-03-27 16:22:33.517205: Волк (16, 2) съел Олень на (15, 1). Голод: 0
2025-03-27 16:22:33.527160: Волк (14, 4) съел Олень на (15, 5). Голод: 0
2025-03-27 16:22:33.536160: Волк (2, 3) съел Олень на (3, 4). Голод: 0
2025-03-27 16:22:33.545456: Волк (3, 5) съел Олень на (4, 4). Голод: 0
2025-03-27 16:22:33.554684: Волк (18, 1) съел Олень на (18, 0). Голод: 0
2025-03-27 16:22:33.564818: Олень (2, 13) съел растение на (1, 14). Голод: 0
2025-03-27 16:22:33.573002: Олень (15, 1) съел растение на (14, 0). Голод: 0
2025-03-27 16:22:33.583183: Олень (4, 4) съел растение на (3, 3). Голод: 0
2025-03-27 16:22:33.592442: Олень (18, 17) съел растение на (19, 17). Голод: 0
2025-03-27 16:22:33.600709: Олень (18, 9) съел растение на (19, 10). Голод: 0
2025-03-27 16:22:33.609938: Олень (1, 2) съел растение на (1, 3). Голод: 0
2025-03-27 16:22:33.619129: Олень (3, 4) съел растение на (3, 3). Голод: 0
2025-03-27 16:22:33.628285: Олень (12, 1) съел растение на (11, 2). Голод: 0
2025-03-27 16:22:33.637537: Олень (15, 5) съел растение на (15, 6). Голод: 0
2025-03-27 16:22:33.646839: Олень (8, 10) съел растение на (7, 9). Голод: 0
2025-03-27 16:22:33.656017: Олень (8, 12) съел растение на (9, 13). Голод: 0
2025-03-27 16:22:33.664198: Олень (13, 14) съел растение на (13, 13). Голод: 0
2025-03-27 16:22:33.676353: Олень (6, 3) съел растение на (7, 3). Голод: 0
2025-03-27 16:22:33.686509: Олень (2, 6) съел растение на (2, 5). Голод: 0
2025-03-27 16:22:33.697685: Олень (17, 10) съел растение на (16, 10). Голод: 0
2025-03-27 16:22:33.709087: Олень (2, 19) съел растение на (1, 19). Голод: 0
2025-03-27 16:22:33.718213: Олень (8, 19) съел растение на (7, 19). Голод: 0
2025-03-27 16:22:33.727511: Олень (7, 0) съел растение на (6, 1). Голод: 0
2025-03-27 16:22:33.736778: Олень (6, 10) съел растение на (7, 9). Голод: 0
2025-03-27 16:22:33.759110: Волк переместился с (12, 9) в (13, 10). Голод: 3
2025-03-27 16:22:33.779652: Волк переместился с (2, 16) в (2, 17). Голод: 3
2025-03-27 16:22:33.787847: Волк переместился с (10, 0) в (11, 19). Голод: 3
2025-03-27 16:22:33.796977: Волк переместился с (5, 11) в (6, 11). Голод: 1
2025-03-27 16:22:33.805231: Волк переместился с (4, 10) в (3, 11). Голод: 3
2025-03-27 16:22:33.813393: Волк переместился с (5, 12) в (5, 11). Голод: 1
2025-03-27 16:22:33.822578: Волк переместился с (17, 0) в (18, 0). Голод: 1
2025-03-27 16:22:33.830807: Волк переместился с (15, 9) в (16, 10). Голод: 3
2025-03-27 16:22:33.839999: Волк переместился с (17, 5) в (17, 4). Голод: 3
2025-03-27 16:22:33.848138: Волк переместился с (15, 11) в (16, 12). Голод: 3
2025-03-27 16:22:33.856441: Волк переместился с (0, 6) в (19, 5). Голод: 3
2025-03-27 16:22:33.865549: Волк переместился с (0, 4) в (19, 3). Голод: 3
2025-03-27 16:22:33.873838: Волк переместился с (10, 15) в (11, 16). Голод: 3
2025-03-27 16:22:33.883028: Волк переместился с (15, 17) в (14, 16). Голод: 3
2025-03-27 16:22:33.892165: Волк переместился с (1, 12) в (1, 13). Голод: 3
2025-03-27 16:22:33.900423: Волк переместился с (10, 7) в (11, 8). Голод: 3
2025-03-27 16:22:33.909682: Волк переместился с (15, 2) в (14, 3). Голод: 3
2025-03-27 16:22:33.917814: Волк переместился с (9, 10) в (10, 10). Голод: 1
2025-03-27 16:22:33.927113: Волк переместился с (2, 9) в (2, 8). Голод: 1
2025-03-27 16:22:33.936253: Волк переместился с (3, 12) в (4, 12). Голод: 3
2025-03-27 16:22:33.944430: Волк переместился с (4, 18) в (3, 17). Голод: 3
2025-03-27 16:22:33.953641: Волк переместился с (9, 16) в (10, 15). Голод: 3
2025-03-27 16:22:33.961929: Волк переместился с (2, 15) в (1, 14). Голод: 3
2025-03-27 16:22:33.971066: Волк переместился с (0, 7) в (19, 6). Голод: 3
2025-03-27 16:22:33.980293: Волк переместился с (17, 18) в (16, 19). Голод: 3
2025-03-27 16:22:33.989512: Волк переместился с (5, 17) в (6, 16). Голод: 3
2025-03-27 16:22:33.998217: Волк переместился с (19, 4) в (18, 4). Голод: 3
2025-03-27 16:22:34.006497: Волк переместился с (13, 4) в (13, 5). Голод: 3
2025-03-27 16:22:34.015776: Волк переместился с (16, 0) в (16, 19). Голод: 3
2025-03-27 16:22:34.024916: Волк переместился с (14, 4) в (14, 3). Голод: 1
2025-03-27 16:22:34.033193: Волк переместился с (8, 16) в (7, 15). Голод: 3
2025-03-27 16:22:34.042420: Волк переместился с (2, 3) в (3, 4). Голод: 1
2025-03-27 16:22:34.051634: Волк переместился с (3, 5) в (4, 5). Голод: 1
