2025-04-03 16:12:07.691664: Волк (7, 6) съел Кролик на (7, 5). Голод: 0
2025-04-03 16:12:09.248570: Коза (16, 6) съел растение на (16, 6). Голод: 0
2025-04-03 16:12:09.260574: Овца (5, 16) съел растение на (5, 17). Голод: 0
2025-04-03 16:12:09.272569: Кролик (6, 17) съел растение на (6, 16). Голод: 0
2025-04-03 16:12:09.285573: Мышь (5, 6) съел растение на (4, 6). Голод: 0
2025-04-03 16:12:09.299573: Медведь (2, 18) съел Олень на (1, 18). Голод: 0
2025-04-03 16:12:09.311689: Лиса (10, 12) съел Олень на (9, 11). Голод: 0
2025-04-03 16:12:09.323917: Орел (9, 17) съел Лошадь на (9, 18). Голод: 0
2025-04-03 16:12:09.337172: Лошадь (0, 9) съел растение на (0, 9). Голод: 0
2025-04-03 16:12:09.350393: Коза (4, 17) съел растение на (4, 16). Голод: 0
2025-04-03 16:12:09.366745: Овца (7, 13) съел растение на (7, 13). Голод: 0
2025-04-03 16:12:09.383071: Кролик (18, 13) съел растение на (18, 12). Голод: 0
2025-04-03 16:12:09.401409: Медведь (15, 3) съел Олень на (14, 4). Голод: 0
2025-04-03 16:12:09.416748: Лиса (17, 10) съел Олень на (17, 10). Голод: 0
2025-04-03 16:12:09.431970: Орел (14, 3) съел Олень на (14, 4). Голод: 0
2025-04-03 16:12:09.447311: Лошадь (2, 13) съел растение на (1, 13). Голод: 0
2025-04-03 16:12:09.459570: Коза (18, 15) съел растение на (18, 16). Голод: 0
2025-04-03 16:12:09.471942: Овца (6, 1) съел растение на (5, 2). Голод: 0
2025-04-03 16:12:09.483193: Кролик (4, 2) съел растение на (5, 2). Голод: 0
2025-04-03 16:12:09.498407: Мышь (1, 10) съел растение на (0, 9). Голод: 0
2025-04-03 16:12:09.510747: Медведь (6, 4) съел Овца на (7, 3). Голод: 0
2025-04-03 16:12:09.522992: Лиса (1, 19) съел Олень на (1, 18). Голод: 0
2025-04-03 16:12:09.535262: Орел (14, 8) съел Олень на (13, 8). Голод: 0
2025-04-03 16:12:09.547571: Лошадь (16, 0) съел растение на (16, 0). Голод: 0
2025-04-03 16:12:09.560823: Овца (11, 16) съел растение на (10, 16). Голод: 0
2025-04-03 16:12:09.578164: Кролик (13, 8) съел растение на (12, 9). Голод: 0
2025-04-03 16:12:09.593559: Мышь (18, 8) съел растение на (18, 9). Голод: 0
2025-04-03 16:12:09.605910: Медведь (14, 19) съел Олень на (14, 19). Голод: 0
2025-04-03 16:12:09.619154: Орел (12, 14) съел Коза на (12, 15). Голод: 0
2025-04-03 16:12:09.637772: Лошадь (18, 11) съел растение на (19, 10). Голод: 0
2025-04-03 16:12:09.657119: Коза (17, 14) съел растение на (16, 15). Голод: 0
2025-04-03 16:12:09.668381: Овца (3, 12) съел растение на (4, 12). Голод: 0
2025-04-03 16:12:09.680708: Кролик (12, 16) съел растение на (11, 16). Голод: 0
2025-04-03 16:12:09.692065: Мышь (13, 12) съел растение на (14, 12). Голод: 0
2025-04-03 16:12:09.703410: Медведь (16, 0) съел Лошадь на (16, 0). Голод: 0
2025-04-03 16:12:09.715694: Лиса (8, 4) съел Овца на (7, 3). Голод: 0
2025-04-03 16:12:09.728027: Орел (19, 14) съел Кролик на (18, 13). Голод: 0
2025-04-03 16:12:09.739265: Лошадь (9, 18) съел растение на (8, 17). Голод: 0
2025-04-03 16:12:09.751491: Коза (3, 7) съел растение на (4, 8). Голод: 0
2025-04-03 16:12:09.762713: Кролик (13, 11) съел растение на (12, 12). Голод: 0
2025-04-03 16:12:09.775094: Мышь (18, 13) съел растение на (17, 12). Голод: 0
2025-04-03 16:12:09.786500: Лиса (10, 14) съел Лошадь на (11, 15). Голод: 0
2025-04-03 16:12:09.798728: Лошадь (11, 15) съел растение на (10, 15). Голод: 0
2025-04-03 16:12:09.810080: Овца (10, 1) съел растение на (11, 1). Голод: 0
2025-04-03 16:12:09.822290: Мышь (9, 14) съел растение на (8, 13). Голод: 0
2025-04-03 16:12:09.833767: Медведь (18, 4) съел Мышь на (17, 4). Голод: 0
2025-04-03 16:12:09.846143: Лошадь (18, 2) съел растение на (18, 1). Голод: 0
2025-04-03 16:12:09.858426: Коза (0, 9) съел растение на (0, 8). Голод: 0
2025-04-03 16:12:09.869755: Овца (12, 1) съел растение на (12, 1). Голод: 0
2025-04-03 16:12:09.881213: Кролик (7, 5) съел растение на (6, 4). Голод: 0
2025-04-03 16:12:09.892583: Мышь (17, 4) съел растение на (17, 3). Голод: 0
2025-04-03 16:12:09.912140: Волк переместился с (7, 6) в (6, 5). Голод: 1
2025-04-03 16:12:09.917193: Волк переместился с (5, 0) в (6, 0). Голод: 1
2025-04-03 16:12:09.928541: Волк переместился с (12, 8) в (11, 9). Голод: 1
2025-04-03 16:12:09.939933: Волк переместился с (13, 9) в (14, 10). Голод: 1
2025-04-03 16:12:09.951271: Волк переместился с (9, 8) в (9, 7). Голод: 1
2025-04-03 16:12:09.962605: Волк переместился с (5, 18) в (6, 19). Голод: 1
2025-04-03 16:12:09.974950: Волк переместился с (18, 19) в (17, 18). Голод: 1
2025-04-03 16:12:09.986313: Волк переместился с (7, 3) в (8, 4). Голод: 1
2025-04-03 16:12:09.998661: Волк переместился с (0, 17) в (19, 16). Голод: 1
2025-04-03 16:12:10.011053: Волк переместился с (8, 4) в (9, 4). Голод: 1
2025-04-03 16:12:10.029619: Волк переместился с (13, 8) в (13, 9). Голод: 1
2025-04-03 16:12:10.050991: Волк переместился с (3, 0) в (2, 19). Голод: 1
2025-04-03 16:12:10.069302: Волк переместился с (16, 18) в (17, 19). Голод: 1
2025-04-03 16:12:10.106491: Волк переместился с (18, 10) в (17, 11). Голод: 1
2025-04-03 16:12:10.120762: Волк переместился с (7, 10) в (8, 11). Голод: 1
2025-04-03 16:12:10.149213: Волк переместился с (4, 10) в (5, 11). Голод: 1
2025-04-03 16:12:10.168537: Волк переместился с (8, 16) в (9, 17). Голод: 1
2025-04-03 16:12:10.190869: Волк переместился с (6, 0) в (5, 0). Голод: 1
2025-04-03 16:12:10.221211: Волк переместился с (0, 6) в (1, 5). Голод: 1
2025-04-03 16:12:10.233422: Волк переместился с (3, 15) в (4, 14). Голод: 1
2025-04-03 16:12:10.244646: Волк переместился с (9, 13) в (10, 12). Голод: 1
2025-04-03 16:12:10.256842: Волк переместился с (17, 13) в (18, 12). Голод: 1
2025-04-03 16:12:10.268066: Волк переместился с (11, 8) в (10, 9). Голод: 1
2025-04-03 16:12:10.280283: Волк переместился с (6, 13) в (7, 13). Голод: 1
2025-04-03 16:12:10.291511: Волк переместился с (0, 5) в (1, 4). Голод: 1
2025-04-03 16:12:10.303828: Волк переместился с (19, 17) в (19, 16). Голод: 1
2025-04-03 16:12:10.315048: Волк переместился с (3, 19) в (3, 18). Голод: 1
2025-04-03 16:12:10.327509: Волк переместился с (11, 6) в (10, 5). Голод: 1
2025-04-03 16:12:10.339753: Волк переместился с (11, 18) в (12, 19). Голод: 1
2025-04-03 16:12:10.352030: Волк переместился с (9, 12) в (10, 11). Голод: 1
2025-04-03 16:12:10.367442: Волк переместился с (1, 12) в (1, 11). Голод: 1
2025-04-03 16:12:10.380659: Волк переместился с (12, 17) в (11, 17). Голод: 1
2025-04-03 16:12:10.391964: Волк переместился с (14, 19) в (15, 19). Голод: 1
2025-04-03 16:12:10.403335: Волк переместился с (14, 3) в (13, 3). Голод: 1
2025-04-03 16:12:10.414722: Волк переместился с (19, 13) в (18, 14). Голод: 1
2025-04-03 16:12:10.426104: Волк переместился с (12, 4) в (13, 4). Голод: 1
2025-04-03 16:12:10.437424: Волк переместился с (5, 12) в (4, 12). Голод: 1
2025-04-03 16:12:10.448756: Волк переместился с (2, 1) в (1, 1). Голод: 1
2025-04-03 16:12:10.461114: Волк переместился с (19, 11) в (18, 10). Голод: 1
2025-04-03 16:12:10.472435: Волк переместился с (3, 10) в (4, 9). Голод: 1
2025-04-03 16:12:10.493942: Волк переместился с (2, 6) в (3, 5). Голод: 1
2025-04-03 16:12:10.518063: Волк переместился с (5, 7) в (6, 6). Голод: 1
2025-04-03 16:12:10.542058: Волк переместился с (17, 10) в (17, 11). Голод: 1
2025-04-03 16:12:10.560059: Волк переместился с (13, 7) в (12, 6). Голод: 1
2025-04-03 16:12:10.587059: Волк переместился с (7, 16) в (6, 16). Голод: 1
2025-04-03 16:12:10.610062: Олень переместился с (9, 11) в (10, 11). Голод: 1
2025-04-03 16:12:10.629058: Олень переместился с (5, 0) в (6, 0). Голод: 1
2025-04-03 16:12:10.641054: Олень переместился с (2, 5) в (3, 4). Голод: 1
2025-04-03 16:12:10.653057: Олень переместился с (12, 7) в (12, 6). Голод: 1
2025-04-03 16:12:10.668060: Олень переместился с (14, 19) в (14, 18). Голод: 1
2025-04-03 16:12:10.688057: Олень переместился с (2, 1) в (3, 2). Голод: 1
2025-04-03 16:12:10.710058: Олень переместился с (5, 12) в (6, 13). Голод: 1
2025-04-03 16:12:10.728590: Олень переместился с (1, 18) в (2, 17). Голод: 1
2025-04-03 16:12:10.746068: Олень переместился с (5, 12) в (6, 12). Голод: 1
2025-04-03 16:12:10.768625: Олень переместился с (17, 10) в (16, 10). Голод: 1
2025-04-03 16:12:10.783188: Олень переместился с (17, 13) в (17, 12). Голод: 1
2025-04-03 16:12:10.795410: Олень переместился с (6, 8) в (5, 7). Голод: 1
2025-04-03 16:12:10.814261: Олень переместился с (0, 4) в (1, 3). Голод: 1
2025-04-03 16:12:10.831732: Олень переместился с (18, 1) в (17, 2). Голод: 1
2025-04-03 16:12:10.865091: Олень переместился с (10, 1) в (10, 2). Голод: 1
2025-04-03 16:12:10.882212: Олень переместился с (13, 8) в (12, 9). Голод: 1
2025-04-03 16:12:10.894641: Олень переместился с (4, 16) в (5, 17). Голод: 1
2025-04-03 16:12:10.910874: Медведь переместился с (17, 12) в (17, 13). Голод: 1
2025-04-03 16:12:10.926222: Лиса переместился с (15, 9) в (15, 8). Голод: 1
2025-04-03 16:12:10.949221: Орел переместился с (1, 4) в (1, 5). Голод: 1
2025-04-03 16:12:10.970818: Лошадь переместился с (4, 16) в (3, 17). Голод: 1
2025-04-03 16:12:10.990349: Коза переместился с (16, 14) в (17, 15). Голод: 1
2025-04-03 16:12:11.020391: Овца переместился с (5, 16) в (6, 17). Голод: 1
2025-04-03 16:12:11.049989: Кролик переместился с (10, 5) в (11, 4). Голод: 1
2025-04-03 16:12:11.071913: Мышь переместился с (9, 10) в (8, 9). Голод: 1
2025-04-03 16:12:11.097253: Медведь переместился с (11, 19) в (12, 0). Голод: 1
2025-04-03 16:12:11.122827: Лиса переместился с (7, 6) в (7, 5). Голод: 1
2025-04-03 16:12:11.136184: Орел переместился с (9, 7) в (10, 8). Голод: 1
2025-04-03 16:12:11.160813: Лошадь переместился с (11, 10) в (11, 11). Голод: 1
2025-04-03 16:12:11.183299: Коза переместился с (12, 15) в (13, 15). Голод: 1
2025-04-03 16:12:11.206723: Овца переместился с (7, 3) в (8, 2). Голод: 1
2025-04-03 16:12:11.230399: Кролик переместился с (15, 9) в (14, 9). Голод: 1
2025-04-03 16:12:11.253622: Мышь переместился с (3, 15) в (2, 16). Голод: 1
2025-04-03 16:12:11.274623: Медведь переместился с (19, 1) в (0, 1). Голод: 1
2025-04-03 16:12:11.292625: Лиса переместился с (1, 3) в (0, 3). Голод: 1
2025-04-03 16:12:11.305622: Орел переместился с (9, 6) в (10, 7). Голод: 1
2025-04-03 16:12:11.319744: Коза переместился с (16, 6) в (15, 7). Голод: 1
2025-04-03 16:12:11.336979: Овца переместился с (5, 16) в (4, 15). Голод: 1
2025-04-03 16:12:11.385254: Кролик переместился с (6, 17) в (7, 16). Голод: 1
2025-04-03 16:12:11.401630: Мышь переместился с (5, 6) в (4, 6). Голод: 1
2025-04-03 16:12:11.414886: Лиса переместился с (10, 12) в (10, 13). Голод: 1
2025-04-03 16:12:11.430147: Орел переместился с (9, 17) в (8, 17). Голод: 1
2025-04-03 16:12:11.444497: Лошадь переместился с (0, 9) в (19, 8). Голод: 1
2025-04-03 16:12:11.467721: Коза переместился с (4, 17) в (4, 18). Голод: 1
2025-04-03 16:12:11.478930: Кролик переместился с (18, 13) в (17, 12). Голод: 1
2025-04-03 16:12:11.491153: Мышь переместился с (15, 7) в (15, 6). Голод: 1
2025-04-03 16:12:11.503363: Медведь переместился с (15, 3) в (14, 4). Голод: 1
2025-04-03 16:12:11.514571: Лиса переместился с (17, 10) в (17, 9). Голод: 1
2025-04-03 16:12:11.525791: Орел переместился с (14, 3) в (14, 4). Голод: 1
2025-04-03 16:12:11.537010: Лошадь переместился с (2, 13) в (3, 14). Голод: 1
2025-04-03 16:12:11.550374: Коза переместился с (18, 15) в (19, 15). Голод: 1
2025-04-03 16:12:11.566713: Овца переместился с (6, 1) в (7, 1). Голод: 1
2025-04-03 16:12:11.582031: Кролик переместился с (4, 2) в (5, 1). Голод: 1
2025-04-03 16:12:11.594319: Мышь переместился с (1, 10) в (0, 11). Голод: 1
2025-04-03 16:12:11.606569: Медведь переместился с (6, 4) в (6, 3). Голод: 1
2025-04-03 16:12:11.617835: Коза переместился с (13, 0) в (13, 1). Голод: 1
2025-04-03 16:12:11.629053: Овца переместился с (11, 16) в (11, 15). Голод: 1
2025-04-03 16:12:11.640486: Кролик переместился с (13, 8) в (12, 7). Голод: 1
2025-04-03 16:12:11.651723: Мышь переместился с (18, 8) в (19, 8). Голод: 1
2025-04-03 16:12:11.663084: Медведь переместился с (14, 19) в (13, 0). Голод: 1
2025-04-03 16:12:11.674408: Лиса переместился с (5, 19) в (4, 18). Голод: 1
2025-04-03 16:12:11.685691: Лошадь переместился с (18, 11) в (17, 12). Голод: 1
2025-04-03 16:12:11.698148: Коза переместился с (17, 14) в (18, 15). Голод: 1
2025-04-03 16:12:11.709475: Овца переместился с (3, 12) в (4, 13). Голод: 1
2025-04-03 16:12:11.720834: Кролик переместился с (12, 16) в (12, 15). Голод: 1
2025-04-03 16:12:11.732098: Мышь переместился с (13, 12) в (14, 13). Голод: 1
2025-04-03 16:12:11.743416: Медведь переместился с (16, 0) в (17, 19). Голод: 1
2025-04-03 16:12:11.754857: Лиса переместился с (8, 4) в (9, 5). Голод: 1
2025-04-03 16:12:11.766240: Коза переместился с (3, 7) в (2, 8). Голод: 1
2025-04-03 16:12:11.777579: Кролик переместился с (13, 11) в (12, 12). Голод: 1
2025-04-03 16:12:11.789973: Мышь переместился с (18, 13) в (17, 13). Голод: 1
2025-04-03 16:12:11.802425: Медведь переместился с (3, 9) в (3, 8). Голод: 1
2025-04-03 16:12:11.813825: Лиса переместился с (10, 14) в (9, 13). Голод: 1
2025-04-03 16:12:11.825094: Орел переместился с (3, 19) в (4, 19). Голод: 1
2025-04-03 16:12:11.837535: Лошадь переместился с (11, 15) в (12, 14). Голод: 1
2025-04-03 16:12:11.848843: Коза переместился с (9, 7) в (10, 6). Голод: 1
2025-04-03 16:12:11.860172: Овца переместился с (10, 1) в (10, 2). Голод: 1
2025-04-03 16:12:11.871444: Кролик переместился с (13, 16) в (14, 15). Голод: 1
2025-04-03 16:12:11.882811: Медведь переместился с (18, 4) в (18, 3). Голод: 1
2025-04-03 16:12:11.895219: Лиса переместился с (2, 3) в (3, 2). Голод: 1
2025-04-03 16:12:11.906599: Орел переместился с (4, 9) в (4, 10). Голод: 1
2025-04-03 16:12:11.918918: Лошадь переместился с (18, 2) в (17, 2). Голод: 1
2025-04-03 16:12:11.930282: Коза переместился с (0, 9) в (1, 10). Голод: 1
2025-04-03 16:12:11.941702: Овца переместился с (12, 1) в (12, 2). Голод: 1
2025-04-03 16:12:11.953074: Кролик переместился с (7, 5) в (7, 6). Голод: 1
2025-04-03 16:12:11.964352: Мышь переместился с (17, 4) в (18, 5). Голод: 1
2025-04-03 16:12:12.002254: Волк (6, 0) съел Кролик на (5, 1). Голод: 0
2025-04-03 16:12:12.003212: Волк (19, 16) съел Коза на (19, 15). Голод: 0
2025-04-03 16:12:12.015212: Волк (5, 0) съел Кролик на (5, 1). Голод: 0
2025-04-03 16:12:12.033214: Волк (3, 18) съел Лошадь на (3, 17). Голод: 0
2025-04-03 16:12:12.044212: Волк (19, 14) съел Коза на (19, 15). Голод: 0
2025-04-03 16:12:12.052255: Волк (12, 6) съел Кролик на (12, 7). Голод: 0
2025-04-03 16:12:12.060369: Олень (17, 2) съел растение на (18, 1). Голод: 0
2025-04-03 16:12:12.069700: Лиса (15, 8) съел Коза на (15, 7). Голод: 0
2025-04-03 16:12:12.077699: Коза (17, 15) съел растение на (18, 14). Голод: 0
2025-04-03 16:12:12.085979: Мышь (8, 9) съел растение на (9, 10). Голод: 0
2025-04-03 16:12:12.094149: Овца (4, 15) съел растение на (4, 14). Голод: 0
2025-04-03 16:12:12.102279: Лошадь (19, 8) съел растение на (19, 9). Голод: 0
2025-04-03 16:12:12.110402: Коза (4, 18) съел растение на (4, 19). Голод: 0
2025-04-03 16:12:12.118571: Мышь (0, 11) съел растение на (0, 12). Голод: 0
2025-04-03 16:12:12.126832: Орел (14, 8) съел Коза на (15, 7). Голод: 0
2025-04-03 16:12:12.135941: Коза (18, 15) съел растение на (18, 14). Голод: 0
2025-04-03 16:12:12.144205: Кролик (12, 15) съел растение на (12, 14). Голод: 0
2025-04-03 16:12:12.152394: Мышь (14, 13) съел растение на (15, 12). Голод: 0
2025-04-03 16:12:12.160538: Кролик (12, 12) съел растение на (11, 11). Голод: 0
2025-04-03 16:12:12.168769: Лиса (9, 13) съел Мышь на (9, 14). Голод: 0
2025-04-03 16:12:12.176894: Мышь (9, 14) съел растение на (10, 13). Голод: 0
2025-04-03 16:12:12.185009: Медведь (18, 3) съел Олень на (17, 2). Голод: 0
2025-04-03 16:12:12.193276: Волк переместился с (6, 5) в (6, 4). Голод: 3
2025-04-03 16:12:12.201398: Волк переместился с (6, 0) в (6, 1). Голод: 1
2025-04-03 16:12:12.217528: Волк переместился с (6, 17) в (7, 17). Голод: 3
2025-04-03 16:12:12.231630: Волк переместился с (9, 7) в (8, 8). Голод: 3
2025-04-03 16:12:12.244704: Волк переместился с (6, 19) в (5, 18). Голод: 3
2025-04-03 16:12:12.257196: Волк переместился с (8, 4) в (9, 3). Голод: 3
2025-04-03 16:12:12.267459: Волк переместился с (19, 16) в (0, 16). Голод: 1
2025-04-03 16:12:12.277595: Волк переместился с (13, 9) в (14, 8). Голод: 3
2025-04-03 16:12:12.285856: Волк переместился с (2, 19) в (2, 0). Голод: 3
2025-04-03 16:12:12.293998: Волк переместился с (17, 11) в (18, 11). Голод: 3
2025-04-03 16:12:12.301303: Волк переместился с (8, 11) в (7, 12). Голод: 3
2025-04-03 16:12:12.309392: Волк переместился с (5, 11) в (6, 11). Голод: 3
2025-04-03 16:12:12.317608: Волк переместился с (9, 17) в (8, 18). Голод: 3
2025-04-03 16:12:12.326824: Волк переместился с (5, 0) в (4, 19). Голод: 1
2025-04-03 16:12:12.334964: Волк переместился с (10, 12) в (11, 11). Голод: 3
2025-04-03 16:12:12.343235: Волк переместился с (7, 13) в (6, 12). Голод: 3
2025-04-03 16:12:12.351363: Волк переместился с (1, 4) в (0, 4). Голод: 3
2025-04-03 16:12:12.363491: Волк переместился с (14, 1) в (13, 1). Голод: 3
2025-04-03 16:12:12.378491: Волк переместился с (3, 18) в (2, 19). Голод: 1
2025-04-03 16:12:12.390576: Волк переместился с (10, 5) в (9, 4). Голод: 3
2025-04-03 16:12:12.404784: Волк переместился с (15, 0) в (16, 1). Голод: 3
2025-04-03 16:12:12.414063: Волк переместился с (10, 11) в (11, 10). Голод: 3
2025-04-03 16:12:12.422194: Волк переместился с (11, 17) в (12, 17). Голод: 3
2025-04-03 16:12:12.430457: Волк переместился с (15, 19) в (16, 0). Голод: 3
2025-04-03 16:12:12.438662: Волк переместился с (1, 1) в (2, 2). Голод: 3
2025-04-03 16:12:12.446801: Волк переместился с (18, 10) в (17, 10). Голод: 3
2025-04-03 16:12:12.454981: Волк переместился с (3, 5) в (3, 4). Голод: 3
2025-04-03 16:12:12.463093: Волк переместился с (12, 6) в (13, 5). Голод: 1
2025-04-03 16:12:12.470268: Волк переместился с (5, 5) в (4, 6). Голод: 3
2025-04-03 16:12:12.489353: Олень переместился с (17, 2) в (16, 3). Голод: 1
2025-04-03 16:12:12.499441: Медведь переместился с (17, 13) в (18, 13). Голод: 3
2025-04-03 16:12:12.522524: Лиса переместился с (15, 8) в (16, 7). Голод: 1
2025-04-03 16:12:12.532733: Лошадь переместился с (3, 17) в (2, 16). Голод: 3
2025-04-03 16:12:12.543848: Коза переместился с (17, 15) в (17, 16). Голод: 1
2025-04-03 16:12:12.568551: Мышь переместился с (8, 9) в (9, 9). Голод: 1
2025-04-03 16:12:12.591549: Медведь переместился с (12, 0) в (12, 19). Голод: 3
2025-04-03 16:12:12.604626: Орел переместился с (10, 8) в (11, 8). Голод: 3
2025-04-03 16:12:12.619782: Медведь переместился с (0, 1) в (19, 2). Голод: 3
2025-04-03 16:12:12.633875: Лиса переместился с (0, 3) в (1, 3). Голод: 3
2025-04-03 16:12:12.655963: Коза переместился с (15, 7) в (15, 6). Голод: 3
