2025-03-27 17:06:25.239196: Волк (18, 7) съел Мышь на (19, 7). Голод: 0
2025-03-27 17:06:25.927625: Олень (10, 13) съел растение на (10, 14). Голод: 0
2025-03-27 17:06:25.938970: Олень (16, 15) съел растение на (15, 14). Голод: 0
2025-03-27 17:06:25.951352: Олень (11, 14) съел растение на (11, 15). Голод: 0
2025-03-27 17:06:25.963616: Олень (10, 1) съел растение на (9, 0). Голод: 0
2025-03-27 17:06:25.975826: Олень (2, 18) съел растение на (2, 17). Голод: 0
2025-03-27 17:06:26.026909: Олень (10, 18) съел растение на (11, 19). Голод: 0
2025-03-27 17:06:26.027903: Олень (18, 19) съел растение на (17, 18). Голод: 0
2025-03-27 17:06:26.050065: Олень (0, 14) съел растение на (0, 13). Голод: 0
2025-03-27 17:06:26.079534: Олень (4, 6) съел растение на (4, 7). Голод: 0
2025-03-27 17:06:26.106257: Олень (11, 11) съел растение на (12, 11). Голод: 0
2025-03-27 17:06:26.129421: Олень (0, 14) съел растение на (0, 13). Голод: 0
2025-03-27 17:06:26.151833: Олень (0, 16) съел растение на (0, 16). Голод: 0
2025-03-27 17:06:26.178269: Олень (2, 6) съел растение на (2, 6). Голод: 0
2025-03-27 17:06:26.204630: Олень (8, 2) съел растение на (8, 3). Голод: 0
2025-03-27 17:06:26.228340: Олень (13, 12) съел растение на (13, 13). Голод: 0
2025-03-27 17:06:26.242671: Олень (13, 12) съел растение на (12, 11). Голод: 0
2025-03-27 17:06:26.259071: Олень (9, 8) съел растение на (8, 7). Голод: 0
2025-03-27 17:06:26.274284: Олень (2, 12) съел растение на (2, 11). Голод: 0
2025-03-27 17:06:26.291597: Олень (12, 3) съел растение на (11, 2). Голод: 0
2025-03-27 17:06:26.304944: Медведь (0, 12) съел Коза на (0, 11). Голод: 0
2025-03-27 17:06:26.319353: Лиса (11, 3) съел Олень на (12, 3). Голод: 0
2025-03-27 17:06:26.332652: Орел (11, 0) съел Олень на (10, 1). Голод: 0
2025-03-27 17:06:26.345895: Лошадь (11, 8) съел растение на (10, 8). Голод: 0
2025-03-27 17:06:26.359247: Овца (17, 3) съел растение на (17, 3). Голод: 0
2025-03-27 17:06:26.373612: Кролик (15, 19) съел растение на (16, 19). Голод: 0
2025-03-27 17:06:26.386829: Мышь (2, 18) съел растение на (2, 17). Голод: 0
2025-03-27 17:06:26.400180: Медведь (14, 5) съел Лошадь на (14, 5). Голод: 0
2025-03-27 17:06:26.415594: Лиса (0, 15) съел Олень на (0, 14). Голод: 0
2025-03-27 17:06:26.432938: Коза (14, 11) съел растение на (15, 11). Голод: 0
2025-03-27 17:06:26.452567: Овца (6, 14) съел растение на (5, 13). Голод: 0
2025-03-27 17:06:26.472126: Кролик (17, 19) съел растение на (17, 18). Голод: 0
2025-03-27 17:06:26.490663: Мышь (19, 7) съел растение на (19, 8). Голод: 0
2025-03-27 17:06:26.512765: Медведь (11, 13) съел Олень на (10, 13). Голод: 0
2025-03-27 17:06:26.535430: Лошадь (18, 14) съел растение на (17, 15). Голод: 0
2025-03-27 17:06:26.558832: Коза (19, 11) съел растение на (18, 12). Голод: 0
2025-03-27 17:06:26.578359: Овца (11, 14) съел растение на (11, 15). Голод: 0
2025-03-27 17:06:26.596736: Мышь (10, 17) съел растение на (11, 18). Голод: 0
2025-03-27 17:06:26.611155: Медведь (14, 11) съел Олень на (13, 12). Голод: 0
2025-03-27 17:06:26.627629: Орел (1, 12) съел Олень на (2, 12). Голод: 0
2025-03-27 17:06:26.646119: Лошадь (9, 11) съел растение на (8, 12). Голод: 0
2025-03-27 17:06:26.666640: Коза (9, 4) съел растение на (8, 4). Голод: 0
2025-03-27 17:06:26.686427: Овца (9, 4) съел растение на (8, 3). Голод: 0
2025-03-27 17:06:26.711308: Кролик (9, 13) съел растение на (8, 12). Голод: 0
2025-03-27 17:06:26.732008: Мышь (12, 5) съел растение на (13, 5). Голод: 0
2025-03-27 17:06:26.754441: Медведь (13, 3) съел Олень на (12, 3). Голод: 0
2025-03-27 17:06:26.774792: Лиса (10, 12) съел Олень на (10, 13). Голод: 0
2025-03-27 17:06:26.794451: Орел (10, 10) съел Олень на (11, 11). Голод: 0
2025-03-27 17:06:26.811889: Лошадь (12, 16) съел растение на (12, 16). Голод: 0
2025-03-27 17:06:26.831437: Коза (6, 7) съел растение на (7, 7). Голод: 0
2025-03-27 17:06:26.856131: Овца (18, 12) съел растение на (18, 12). Голод: 0
2025-03-27 17:06:26.875503: Кролик (3, 11) съел растение на (4, 10). Голод: 0
2025-03-27 17:06:26.887706: Мышь (3, 4) съел растение на (3, 5). Голод: 0
2025-03-27 17:06:26.900912: Медведь (4, 2) съел Коза на (3, 3). Голод: 0
2025-03-27 17:06:26.913272: Лиса (16, 17) съел Кролик на (16, 18). Голод: 0
2025-03-27 17:06:26.926353: Лошадь (19, 8) съел растение на (19, 8). Голод: 0
2025-03-27 17:06:26.940660: Коза (3, 3) съел растение на (4, 2). Голод: 0
2025-03-27 17:06:26.957180: Овца (5, 18) съел растение на (6, 17). Голод: 0
2025-03-27 17:06:26.969480: Кролик (17, 2) съел растение на (17, 3). Голод: 0
2025-03-27 17:06:26.981715: Мышь (9, 4) съел растение на (8, 3). Голод: 0
2025-03-27 17:06:26.994151: Медведь (2, 12) съел Олень на (2, 12). Голод: 0
2025-03-27 17:06:27.005453: Лиса (9, 6) съел Кролик на (9, 6). Голод: 0
2025-03-27 17:06:27.017600: Орел (17, 12) съел Овца на (18, 12). Голод: 0
2025-03-27 17:06:27.029855: Лошадь (17, 2) съел растение на (17, 3). Голод: 0
2025-03-27 17:06:27.041480: Коза (8, 1) съел растение на (9, 0). Голод: 0
2025-03-27 17:06:27.053790: Овца (6, 17) съел растение на (6, 17). Голод: 0
2025-03-27 17:06:27.066199: Кролик (16, 18) съел растение на (16, 18). Голод: 0
2025-03-27 17:06:27.077505: Мышь (11, 6) съел растение на (10, 7). Голод: 0
2025-03-27 17:06:27.089816: Медведь (4, 12) съел Кролик на (3, 11). Голод: 0
2025-03-27 17:06:27.102123: Орел (16, 15) съел Олень на (16, 15). Голод: 0
2025-03-27 17:06:27.114388: Лошадь (2, 8) съел растение на (3, 7). Голод: 0
2025-03-27 17:06:27.127770: Коза (12, 16) съел растение на (11, 15). Голод: 0
2025-03-27 17:06:27.141165: Овца (0, 12) съел растение на (0, 12). Голод: 0
2025-03-27 17:06:27.158580: Кролик (10, 18) съел растение на (11, 18). Голод: 0
2025-03-27 17:06:27.171853: Мышь (16, 0) съел растение на (15, 0). Голод: 0
2025-03-27 17:06:27.185285: Медведь (11, 17) съел Олень на (10, 18). Голод: 0
2025-03-27 17:06:27.199537: Лиса (2, 19) съел Олень на (2, 18). Голод: 0
2025-03-27 17:06:27.211793: Орел (11, 9) съел Лошадь на (11, 8). Голод: 0
2025-03-27 17:06:27.225186: Лошадь (14, 5) съел растение на (13, 4). Голод: 0
2025-03-27 17:06:27.237500: Коза (15, 11) съел растение на (15, 11). Голод: 0
2025-03-27 17:06:27.249944: Овца (0, 13) съел растение на (0, 12). Голод: 0
2025-03-27 17:06:27.263090: Кролик (9, 6) съел растение на (8, 7). Голод: 0
2025-03-27 17:06:27.274590: Медведь (16, 3) съел Овца на (17, 3). Голод: 0
2025-03-27 17:06:27.286988: Орел (9, 9) съел Олень на (9, 8). Голод: 0
2025-03-27 17:06:27.299282: Лошадь (3, 8) съел растение на (4, 7). Голод: 0
2025-03-27 17:06:27.310553: Коза (8, 5) съел растение на (8, 4). Голод: 0
2025-03-27 17:06:27.322972: Овца (10, 14) съел растение на (11, 13). Голод: 0
2025-03-27 17:06:27.335289: Кролик (9, 8) съел растение на (10, 8). Голод: 0
2025-03-27 17:06:27.347567: Мышь (3, 2) съел растение на (3, 2). Голод: 0
2025-03-27 17:06:27.371335: Волк переместился с (18, 7) в (19, 7). Голод: 1
2025-03-27 17:06:27.377406: Волк переместился с (17, 12) в (18, 13). Голод: 1
2025-03-27 17:06:27.389840: Волк переместился с (0, 18) в (19, 19). Голод: 1
2025-03-27 17:06:27.402120: Волк переместился с (2, 8) в (1, 7). Голод: 1
2025-03-27 17:06:27.413427: Волк переместился с (3, 15) в (4, 14). Голод: 1
2025-03-27 17:06:27.425765: Волк переместился с (18, 2) в (19, 2). Голод: 1
2025-03-27 17:06:27.438030: Волк переместился с (16, 14) в (15, 13). Голод: 1
2025-03-27 17:06:27.457492: Волк переместился с (2, 16) в (3, 15). Голод: 1
2025-03-27 17:06:27.469786: Волк переместился с (10, 0) в (11, 0). Голод: 1
2025-03-27 17:06:27.481214: Волк переместился с (18, 6) в (19, 7). Голод: 1
2025-03-27 17:06:27.493554: Волк переместился с (1, 12) в (2, 11). Голод: 1
2025-03-27 17:06:27.506946: Волк переместился с (6, 13) в (5, 13). Голод: 1
2025-03-27 17:06:27.519265: Волк переместился с (4, 16) в (5, 17). Голод: 1
2025-03-27 17:06:27.531591: Волк переместился с (10, 7) в (10, 6). Голод: 1
2025-03-27 17:06:27.543962: Волк переместился с (5, 19) в (4, 19). Голод: 1
2025-03-27 17:06:27.556275: Волк переместился с (1, 12) в (1, 13). Голод: 1
2025-03-27 17:06:27.569556: Волк переместился с (19, 1) в (18, 0). Голод: 1
2025-03-27 17:06:27.582005: Волк переместился с (11, 2) в (12, 3). Голод: 1
2025-03-27 17:06:27.594299: Волк переместился с (17, 1) в (16, 1). Голод: 1
2025-03-27 17:06:27.606565: Волк переместился с (15, 15) в (14, 16). Голод: 1
2025-03-27 17:06:27.620041: Волк переместился с (8, 10) в (8, 11). Голод: 1
2025-03-27 17:06:27.632316: Волк переместился с (7, 14) в (8, 13). Голод: 1
2025-03-27 17:06:27.644797: Волк переместился с (11, 0) в (10, 0). Голод: 1
2025-03-27 17:06:27.657226: Волк переместился с (6, 6) в (5, 6). Голод: 1
2025-03-27 17:06:27.668546: Волк переместился с (2, 4) в (1, 3). Голод: 1
2025-03-27 17:06:27.680820: Волк переместился с (5, 15) в (6, 16). Голод: 1
2025-03-27 17:06:27.694255: Волк переместился с (17, 9) в (18, 9). Голод: 1
2025-03-27 17:06:27.707530: Волк переместился с (12, 9) в (11, 9). Голод: 1
2025-03-27 17:06:27.719918: Волк переместился с (9, 9) в (10, 8). Голод: 1
2025-03-27 17:06:27.732300: Волк переместился с (14, 14) в (13, 15). Голод: 1
2025-03-27 17:06:27.744555: Волк переместился с (7, 12) в (6, 11). Голод: 1
2025-03-27 17:06:27.756897: Волк переместился с (12, 10) в (11, 11). Голод: 1
2025-03-27 17:06:27.769205: Волк переместился с (15, 3) в (16, 2). Голод: 1
2025-03-27 17:06:27.781523: Волк переместился с (10, 10) в (9, 11). Голод: 1
2025-03-27 17:06:27.792785: Волк переместился с (12, 5) в (13, 5). Голод: 1
2025-03-27 17:06:27.812256: Волк переместился с (19, 12) в (0, 13). Голод: 1
2025-03-27 17:06:27.832735: Волк переместился с (5, 9) в (4, 9). Голод: 1
2025-03-27 17:06:27.846022: Волк переместился с (7, 13) в (6, 12). Голод: 1
2025-03-27 17:06:27.859412: Волк переместился с (10, 3) в (9, 3). Голод: 1
2025-03-27 17:06:27.871715: Волк переместился с (2, 13) в (1, 13). Голод: 1
2025-03-27 17:06:27.884216: Волк переместился с (5, 7) в (4, 8). Голод: 1
2025-03-27 17:06:27.895446: Волк переместился с (9, 3) в (9, 4). Голод: 1
2025-03-27 17:06:27.907733: Волк переместился с (17, 6) в (17, 7). Голод: 1
2025-03-27 17:06:27.921048: Волк переместился с (13, 17) в (13, 16). Голод: 1
2025-03-27 17:06:27.932302: Волк переместился с (5, 12) в (5, 11). Голод: 1
2025-03-27 17:06:27.944554: Олень переместился с (10, 13) в (9, 14). Голод: 1
2025-03-27 17:06:27.959920: Олень переместился с (16, 15) в (15, 15). Голод: 1
2025-03-27 17:06:27.975147: Олень переместился с (11, 14) в (12, 13). Голод: 1
2025-03-27 17:06:27.988506: Олень переместился с (10, 1) в (11, 0). Голод: 1
2025-03-27 17:06:27.999848: Олень переместился с (2, 18) в (1, 18). Голод: 1
2025-03-27 17:06:28.012117: Олень переместился с (10, 18) в (10, 17). Голод: 1
2025-03-27 17:06:28.028598: Олень переместился с (18, 19) в (17, 0). Голод: 1
2025-03-27 17:06:28.046039: Олень переместился с (0, 14) в (1, 15). Голод: 1
2025-03-27 17:06:28.060374: Олень переместился с (4, 6) в (4, 7). Голод: 1
2025-03-27 17:06:28.074628: Олень переместился с (11, 11) в (10, 11). Голод: 1
2025-03-27 17:06:28.088075: Олень переместился с (0, 14) в (19, 15). Голод: 1
2025-03-27 17:06:28.104545: Олень переместился с (0, 16) в (19, 15). Голод: 1
2025-03-27 17:06:28.117825: Олень переместился с (2, 6) в (2, 5). Голод: 1
2025-03-27 17:06:28.132266: Олень переместился с (8, 2) в (9, 3). Голод: 1
2025-03-27 17:06:28.150738: Олень переместился с (13, 12) в (12, 13). Голод: 1
2025-03-27 17:06:28.169207: Олень переместился с (9, 8) в (9, 9). Голод: 1
2025-03-27 17:06:28.191036: Олень переместился с (2, 12) в (3, 11). Голод: 1
2025-03-27 17:06:28.213179: Лиса переместился с (11, 3) в (10, 4). Голод: 1
2025-03-27 17:06:28.232098: Орел переместился с (11, 0) в (10, 0). Голод: 1
2025-03-27 17:06:28.249685: Лошадь переместился с (11, 8) в (10, 7). Голод: 1
2025-03-27 17:06:28.270287: Коза переместился с (0, 11) в (1, 10). Голод: 1
2025-03-27 17:06:28.284770: Овца переместился с (17, 3) в (18, 4). Голод: 1
2025-03-27 17:06:28.303357: Кролик переместился с (15, 19) в (16, 19). Голод: 1
2025-03-27 17:06:28.318946: Мышь переместился с (2, 18) в (3, 17). Голод: 1
2025-03-27 17:06:28.331270: Медведь переместился с (14, 5) в (15, 5). Голод: 1
2025-03-27 17:06:28.348545: Лиса переместился с (0, 15) в (19, 15). Голод: 1
2025-03-27 17:06:28.362755: Орел переместился с (19, 0) в (18, 0). Голод: 1
2025-03-27 17:06:28.376078: Лошадь переместился с (12, 5) в (13, 6). Голод: 1
2025-03-27 17:06:28.388320: Коза переместился с (14, 11) в (14, 10). Голод: 1
2025-03-27 17:06:28.401585: Кролик переместился с (17, 19) в (18, 0). Голод: 1
2025-03-27 17:06:28.413998: Мышь переместился с (19, 7) в (19, 6). Голод: 1
2025-03-27 17:06:28.426210: Медведь переместился с (11, 13) в (12, 12). Голод: 1
2025-03-27 17:06:28.438466: Лиса переместился с (17, 8) в (18, 8). Голод: 1
2025-03-27 17:06:28.450772: Орел переместился с (8, 18) в (9, 19). Голод: 1
2025-03-27 17:06:28.463109: Лошадь переместился с (18, 14) в (19, 15). Голод: 1
2025-03-27 17:06:28.483218: Коза переместился с (19, 11) в (19, 10). Голод: 1
2025-03-27 17:06:28.494430: Овца переместился с (11, 14) в (10, 15). Голод: 1
2025-03-27 17:06:28.506808: Кролик переместился с (6, 16) в (7, 15). Голод: 1
2025-03-27 17:06:28.518995: Мышь переместился с (10, 17) в (9, 16). Голод: 1
2025-03-27 17:06:28.532287: Медведь переместился с (14, 11) в (13, 11). Голод: 1
2025-03-27 17:06:28.544506: Лиса переместился с (14, 15) в (13, 16). Голод: 1
2025-03-27 17:06:28.555746: Орел переместился с (1, 12) в (2, 11). Голод: 1
2025-03-27 17:06:28.568139: Коза переместился с (9, 4) в (8, 5). Голод: 1
2025-03-27 17:06:28.580431: Овца переместился с (9, 4) в (8, 5). Голод: 1
2025-03-27 17:06:28.591690: Мышь переместился с (12, 5) в (13, 6). Голод: 1
2025-03-27 17:06:28.604993: Медведь переместился с (13, 3) в (13, 2). Голод: 1
2025-03-27 17:06:28.617436: Лиса переместился с (10, 12) в (10, 13). Голод: 1
2025-03-27 17:06:28.629710: Орел переместился с (10, 10) в (9, 11). Голод: 1
2025-03-27 17:06:28.642017: Лошадь переместился с (12, 16) в (11, 16). Голод: 1
2025-03-27 17:06:28.653492: Коза переместился с (6, 7) в (6, 8). Голод: 1
2025-03-27 17:06:28.665771: Овца переместился с (18, 12) в (18, 11). Голод: 1
2025-03-27 17:06:28.678074: Кролик переместился с (3, 11) в (4, 11). Голод: 1
2025-03-27 17:06:28.689502: Мышь переместился с (3, 4) в (2, 3). Голод: 1
2025-03-27 17:06:28.702713: Медведь переместился с (4, 2) в (5, 2). Голод: 1
2025-03-27 17:06:28.715026: Лиса переместился с (16, 17) в (17, 18). Голод: 1
2025-03-27 17:06:28.727322: Орел переместился с (7, 9) в (8, 8). Голод: 1
2025-03-27 17:06:28.739560: Коза переместился с (3, 3) в (2, 4). Голод: 1
2025-03-27 17:06:28.751023: Кролик переместился с (17, 2) в (16, 1). Голод: 1
2025-03-27 17:06:28.763376: Мышь переместился с (9, 4) в (8, 4). Голод: 1
2025-03-27 17:06:28.775628: Медведь переместился с (2, 12) в (3, 13). Голод: 1
2025-03-27 17:06:28.787952: Лиса переместился с (9, 6) в (8, 5). Голод: 1
2025-03-27 17:06:28.800435: Орел переместился с (17, 12) в (18, 12). Голод: 1
2025-03-27 17:06:28.812690: Лошадь переместился с (17, 2) в (16, 2). Голод: 1
2025-03-27 17:06:28.824992: Коза переместился с (8, 1) в (7, 0). Голод: 1
2025-03-27 17:06:28.837359: Овца переместился с (6, 17) в (6, 16). Голод: 1
2025-03-27 17:06:28.850842: Кролик переместился с (16, 18) в (15, 17). Голод: 1
2025-03-27 17:06:28.862999: Мышь переместился с (11, 6) в (11, 7). Голод: 1
2025-03-27 17:06:28.874319: Медведь переместился с (4, 12) в (3, 12). Голод: 1
2025-03-27 17:06:28.886576: Лиса переместился с (0, 0) в (1, 1). Голод: 1
2025-03-27 17:06:28.897929: Орел переместился с (16, 15) в (15, 15). Голод: 1
2025-03-27 17:06:28.910400: Лошадь переместился с (2, 8) в (1, 8). Голод: 1
2025-03-27 17:06:28.922704: Коза переместился с (12, 16) в (12, 17). Голод: 1
2025-03-27 17:06:28.934015: Овца переместился с (0, 12) в (0, 11). Голод: 1
2025-03-27 17:06:28.946403: Кролик переместился с (10, 18) в (9, 17). Голод: 1
2025-03-27 17:06:28.958685: Мышь переместился с (16, 0) в (17, 0). Голод: 1
2025-03-27 17:06:28.973120: Лиса переместился с (2, 19) в (2, 0). Голод: 1
2025-03-27 17:06:28.988398: Орел переместился с (11, 9) в (12, 9). Голод: 1
2025-03-27 17:06:28.999855: Лошадь переместился с (14, 5) в (15, 6). Голод: 1
2025-03-27 17:06:29.011364: Коза переместился с (15, 11) в (16, 12). Голод: 1
2025-03-27 17:06:29.023612: Овца переместился с (0, 13) в (19, 12). Голод: 1
2025-03-27 17:06:29.035950: Кролик переместился с (9, 6) в (8, 5). Голод: 1
2025-03-27 17:06:29.048414: Мышь переместился с (2, 9) в (3, 8). Голод: 1
2025-03-27 17:06:29.059674: Медведь переместился с (16, 3) в (16, 2). Голод: 1
2025-03-27 17:06:29.071945: Лиса переместился с (0, 18) в (0, 19). Голод: 1
2025-03-27 17:06:29.084363: Орел переместился с (9, 9) в (10, 8). Голод: 1
2025-03-27 17:06:29.095647: Лошадь переместился с (3, 8) в (4, 8). Голод: 1
2025-03-27 17:06:29.108895: Коза переместился с (8, 5) в (9, 4). Голод: 1
2025-03-27 17:06:29.120183: Овца переместился с (10, 14) в (10, 13). Голод: 1
2025-03-27 17:06:29.132512: Кролик переместился с (9, 8) в (8, 9). Голод: 1
2025-03-27 17:06:29.144716: Мышь переместился с (3, 2) в (4, 3). Голод: 1
2025-03-27 17:06:29.169246: Волк (19, 7) съел Лошадь на (19, 8). Голод: 0
2025-03-27 17:06:29.172245: Волк (15, 13) съел Коза на (16, 12). Голод: 0
2025-03-27 17:06:29.184245: Волк (10, 6) съел Мышь на (11, 7). Голод: 0
2025-03-27 17:06:29.198248: Волк (10, 16) съел Мышь на (9, 16). Голод: 0
2025-03-27 17:06:29.213245: Волк (16, 1) съел Олень на (17, 0). Голод: 0
2025-03-27 17:06:29.225248: Волк (6, 16) съел Кролик на (7, 15). Голод: 0
2025-03-27 17:06:29.237245: Волк (18, 9) съел Лошадь на (19, 8). Голод: 0
2025-03-27 17:06:29.248245: Волк (10, 8) съел Мышь на (11, 7). Голод: 0
2025-03-27 17:06:29.260244: Волк (4, 8) съел Мышь на (3, 8). Голод: 0
2025-03-27 17:06:29.272248: Волк (9, 4) съел Овца на (8, 5). Голод: 0
2025-03-27 17:06:29.284246: Олень (12, 13) съел растение на (12, 14). Голод: 0
2025-03-27 17:06:29.296243: Олень (17, 0) съел растение на (18, 0). Голод: 0
2025-03-27 17:06:29.308278: Олень (19, 15) съел растение на (18, 15). Голод: 0
2025-03-27 17:06:29.320249: Олень (2, 5) съел растение на (3, 6). Голод: 0
2025-03-27 17:06:29.332282: Медведь (0, 12) съел Овца на (0, 11). Голод: 0
2025-03-27 17:06:29.344248: Коза (14, 10) съел растение на (15, 9). Голод: 0
2025-03-27 17:06:29.357246: Медведь (12, 12) съел Олень на (12, 13). Голод: 0
2025-03-27 17:06:29.371254: Лиса (18, 8) съел Лошадь на (19, 8). Голод: 0
2025-03-27 17:06:29.386285: Кролик (7, 15) съел растение на (8, 15). Голод: 0
2025-03-27 17:06:29.399285: Мышь (9, 16) съел растение на (10, 17). Голод: 0
2025-03-27 17:06:29.412243: Медведь (13, 11) съел Коза на (14, 10). Голод: 0
2025-03-27 17:06:29.424242: Овца (8, 5) съел растение на (7, 6). Голод: 0
2025-03-27 17:06:29.436247: Кролик (9, 13) съел растение на (8, 13). Голод: 0
2025-03-27 17:06:29.448245: Лиса (10, 13) съел Кролик на (9, 13). Голод: 0
2025-03-27 17:06:29.459284: Лиса (17, 18) съел Кролик на (16, 19). Голод: 0
2025-03-27 17:06:29.471248: Мышь (8, 4) съел растение на (9, 3). Голод: 0
2025-03-27 17:06:29.483284: Мышь (11, 7) съел растение на (12, 7). Голод: 0
2025-03-27 17:06:29.495242: Овца (0, 11) съел растение на (0, 10). Голод: 0
2025-03-27 17:06:29.506249: Коза (16, 12) съел растение на (17, 11). Голод: 0
2025-03-27 17:06:29.519284: Волк переместился с (18, 13) в (17, 14). Голод: 3
2025-03-27 17:06:29.530242: Волк переместился с (15, 13) в (15, 14). Голод: 1
2025-03-27 17:06:29.542538: Волк переместился с (3, 15) в (3, 14). Голод: 3
2025-03-27 17:06:29.554552: Волк переместился с (11, 0) в (12, 0). Голод: 3
2025-03-27 17:06:29.565596: Волк переместился с (5, 17) в (4, 16). Голод: 3
2025-03-27 17:06:29.577557: Волк переместился с (10, 6) в (11, 7). Голод: 1
2025-03-27 17:06:29.589553: Волк переместился с (10, 16) в (9, 15). Голод: 1
2025-03-27 17:06:29.600551: Волк переместился с (16, 1) в (17, 1). Голод: 1
2025-03-27 17:06:29.612708: Волк переместился с (14, 16) в (13, 16). Голод: 3
2025-03-27 17:06:29.624125: Волк переместился с (8, 11) в (8, 12). Голод: 3
2025-03-27 17:06:29.635435: Волк переместился с (10, 0) в (10, 19). Голод: 3
2025-03-27 17:06:29.647735: Волк переместился с (6, 16) в (5, 15). Голод: 1
2025-03-27 17:06:29.659068: Волк переместился с (18, 9) в (19, 8). Голод: 1
2025-03-27 17:06:29.671344: Волк переместился с (10, 8) в (11, 7). Голод: 1
2025-03-27 17:06:29.682652: Волк переместился с (13, 15) в (14, 16). Голод: 3
2025-03-27 17:06:29.694991: Волк переместился с (6, 11) в (5, 12). Голод: 3
2025-03-27 17:06:29.706580: Волк переместился с (11, 11) в (12, 12). Голод: 3
2025-03-27 17:06:29.718885: Волк переместился с (16, 2) в (17, 3). Голод: 3
2025-03-27 17:06:29.730247: Волк переместился с (9, 11) в (10, 10). Голод: 3
2025-03-27 17:06:29.743471: Волк переместился с (13, 5) в (14, 4). Голод: 3
2025-03-27 17:06:29.754749: Волк переместился с (12, 17) в (13, 16). Голод: 3
2025-03-27 17:06:29.767248: Волк переместился с (0, 13) в (0, 12). Голод: 3
2025-03-27 17:06:29.779499: Волк переместился с (2, 0) в (3, 0). Голод: 3
2025-03-27 17:06:29.790813: Волк переместился с (6, 18) в (5, 18). Голод: 3
2025-03-27 17:06:29.803276: Волк переместился с (4, 8) в (4, 7). Голод: 1
2025-03-27 17:06:29.814621: Волк переместился с (9, 4) в (10, 5). Голод: 1
2025-03-27 17:06:29.826898: Волк переместился с (13, 16) в (13, 17). Голод: 3
2025-03-27 17:06:29.838201: Олень переместился с (12, 13) в (12, 12). Голод: 1
2025-03-27 17:06:29.850473: Олень переместился с (19, 15) в (19, 16). Голод: 1
2025-03-27 17:06:29.861938: Олень переместился с (2, 5) в (2, 4). Голод: 1
2025-03-27 17:06:29.874209: Медведь переместился с (0, 12) в (19, 12). Голод: 1
