2025-03-27 16:19:09.406464: Волк (19, 1) съел Олень на (19, 2). Голод: 0
2025-03-27 16:19:10.277468: Олень (17, 2) съел растение на (17, 1). Голод: 0
2025-03-27 16:19:10.292793: Олень (15, 19) съел растение на (16, 19). Голод: 0
2025-03-27 16:19:10.307108: Олень (18, 19) съел растение на (19, 18). Голод: 0
2025-03-27 16:19:10.320325: Олень (14, 12) съел растение на (13, 11). Голод: 0
2025-03-27 16:19:10.333547: Олень (3, 13) съел растение на (2, 13). Голод: 0
2025-03-27 16:19:10.351972: Олень (6, 6) съел растение на (6, 7). Голод: 0
2025-03-27 16:19:10.379424: Олень (16, 10) съел растение на (17, 9). Голод: 0
2025-03-27 16:19:10.397628: Олень (19, 2) съел растение на (19, 2). Голод: 0
2025-03-27 16:19:10.412981: Олень (0, 13) съел растение на (1, 14). Голод: 0
2025-03-27 16:19:10.428327: Олень (17, 8) съел растение на (16, 8). Голод: 0
2025-03-27 16:19:10.445642: Олень (4, 10) съел растение на (4, 9). Голод: 0
2025-03-27 16:19:10.459135: Олень (11, 12) съел растение на (10, 13). Голод: 0
2025-03-27 16:19:10.473344: Олень (16, 10) съел растение на (17, 9). Голод: 0
2025-03-27 16:19:10.491789: Олень (9, 2) съел растение на (10, 1). Голод: 0
2025-03-27 16:19:10.506016: Олень (1, 10) съел растение на (0, 11). Голод: 0
2025-03-27 16:19:10.524464: Олень (5, 17) съел растение на (6, 18). Голод: 0
2025-03-27 16:19:10.539831: Олень (1, 7) съел растение на (0, 6). Голод: 0
2025-03-27 16:19:10.553057: Олень (18, 0) съел растение на (17, 1). Голод: 0
2025-03-27 16:19:10.571405: Олень (13, 16) съел растение на (14, 15). Голод: 0
2025-03-27 16:19:10.584739: Олень (18, 1) съел растение на (18, 0). Голод: 0
2025-03-27 16:19:10.605269: Олень (4, 6) съел растение на (5, 6). Голод: 0
2025-03-27 16:19:10.619475: Олень (14, 5) съел растение на (15, 6). Голод: 0
2025-03-27 16:19:10.635842: Олень (4, 1) съел растение на (3, 0). Голод: 0
2025-03-27 16:19:10.649212: Олень (19, 19) съел растение на (18, 19). Голод: 0
2025-03-27 16:19:10.662520: Олень (6, 9) съел растение на (5, 8). Голод: 0
2025-03-27 16:19:10.675746: Олень (1, 2) съел растение на (2, 1). Голод: 0
2025-03-27 16:19:10.690118: Олень (0, 5) съел растение на (0, 5). Голод: 0
2025-03-27 16:19:10.708563: Олень (17, 13) съел растение на (16, 12). Голод: 0
2025-03-27 16:19:10.726896: Олень (16, 11) съел растение на (15, 11). Голод: 0
2025-03-27 16:19:10.743247: Олень (3, 2) съел растение на (3, 3). Голод: 0
2025-03-27 16:19:10.760480: Олень (17, 16) съел растение на (17, 17). Голод: 0
2025-03-27 16:19:10.776804: Олень (18, 8) съел растение на (19, 7). Голод: 0
2025-03-27 16:19:10.793097: Олень (0, 7) съел растение на (0, 6). Голод: 0
2025-03-27 16:19:10.810418: Олень (17, 1) съел растение на (16, 2). Голод: 0
2025-03-27 16:19:10.824648: Олень (11, 16) съел растение на (10, 15). Голод: 0
2025-03-27 16:19:10.837989: Олень (5, 0) съел растение на (4, 1). Голод: 0
2025-03-27 16:19:10.853340: Олень (1, 6) съел растение на (0, 5). Голод: 0
2025-03-27 16:19:10.868688: Олень (1, 11) съел растение на (0, 11). Голод: 0
2025-03-27 16:19:10.889017: Олень (13, 18) съел растение на (13, 18). Голод: 0
2025-03-27 16:19:10.907343: Олень (9, 14) съел растение на (8, 13). Голод: 0
2025-03-27 16:19:10.926737: Олень (7, 1) съел растение на (6, 1). Голод: 0
2025-03-27 16:19:10.946154: Олень (16, 9) съел растение на (17, 8). Голод: 0
2025-03-27 16:19:10.966469: Олень (2, 14) съел растение на (2, 15). Голод: 0
2025-03-27 16:19:10.986890: Олень (16, 1) съел растение на (15, 1). Голод: 0
2025-03-27 16:19:11.007311: Олень (17, 15) съел растение на (17, 15). Голод: 0
2025-03-27 16:19:11.026632: Олень (5, 12) съел растение на (5, 12). Голод: 0
2025-03-27 16:19:11.046973: Олень (11, 8) съел растение на (12, 8). Голод: 0
2025-03-27 16:19:11.065329: Олень (13, 8) съел растение на (12, 8). Голод: 0
2025-03-27 16:19:11.084963: Олень (2, 12) съел растение на (3, 12). Голод: 0
2025-03-27 16:19:11.105333: Олень (9, 4) съел растение на (10, 5). Голод: 0
2025-03-27 16:19:11.124769: Олень (2, 16) съел растение на (2, 16). Голод: 0
2025-03-27 16:19:11.141977: Олень (12, 11) съел растение на (13, 11). Голод: 0
2025-03-27 16:19:11.161397: Олень (12, 7) съел растение на (13, 6). Голод: 0
2025-03-27 16:19:11.179721: Олень (12, 1) съел растение на (13, 2). Голод: 0
2025-03-27 16:19:11.197043: Олень (7, 9) съел растение на (7, 8). Голод: 0
2025-03-27 16:19:11.218384: Олень (17, 5) съел растение на (16, 4). Голод: 0
2025-03-27 16:19:11.237704: Олень (12, 16) съел растение на (13, 15). Голод: 0
2025-03-27 16:19:11.259213: Олень (1, 0) съел растение на (2, 0). Голод: 0
2025-03-27 16:19:11.309212: Волк (15, 14) съел Олень на (16, 15). Голод: 0
2025-03-27 16:19:11.310214: Волк (7, 11) съел Олень на (7, 12). Голод: 0
2025-03-27 16:19:11.328212: Волк (11, 14) съел Олень на (12, 15). Голод: 0
2025-03-27 16:19:11.346211: Волк (17, 19) съел Олень на (18, 18). Голод: 0
2025-03-27 16:19:11.364210: Волк (3, 1) съел Олень на (4, 1). Голод: 0
2025-03-27 16:19:11.379212: Волк (16, 14) съел Олень на (17, 14). Голод: 0
2025-03-27 16:19:11.394211: Волк (3, 17) съел Олень на (2, 16). Голод: 0
2025-03-27 16:19:11.410212: Волк (3, 18) съел Олень на (4, 17). Голод: 0
2025-03-27 16:19:11.425211: Волк (2, 14) съел Олень на (1, 13). Голод: 0
2025-03-27 16:19:11.443211: Волк (8, 1) съел Олень на (7, 1). Голод: 0
2025-03-27 16:19:11.457209: Волк (12, 16) съел Олень на (12, 15). Голод: 0
2025-03-27 16:19:11.475210: Волк (11, 17) съел Олень на (12, 18). Голод: 0
2025-03-27 16:19:11.491209: Волк (19, 6) съел Олень на (18, 6). Голод: 0
2025-03-27 16:19:11.508212: Волк (3, 16) съел Олень на (4, 15). Голод: 0
2025-03-27 16:19:11.532215: Олень (2, 16) съел растение на (1, 16). Голод: 0
2025-03-27 16:19:11.577595: Олень (4, 15) съел растение на (3, 15). Голод: 0
2025-03-27 16:19:11.591796: Олень (2, 11) съел растение на (3, 10). Голод: 0
2025-03-27 16:19:11.605030: Олень (0, 1) съел растение на (1, 0). Голод: 0
2025-03-27 16:19:11.618351: Олень (13, 14) съел растение на (14, 13). Голод: 0
2025-03-27 16:19:11.634676: Олень (17, 14) съел растение на (17, 13). Голод: 0
2025-03-27 16:19:11.646906: Олень (18, 16) съел растение на (17, 17). Голод: 0
2025-03-27 16:19:11.660100: Олень (1, 1) съел растение на (1, 0). Голод: 0
2025-03-27 16:19:11.673409: Олень (8, 12) съел растение на (9, 13). Голод: 0
2025-03-27 16:19:11.686629: Олень (13, 5) съел растение на (13, 6). Голод: 0
2025-03-27 16:19:11.698857: Олень (2, 12) съел растение на (3, 11). Голод: 0
2025-03-27 16:19:11.712357: Олень (6, 6) съел растение на (7, 7). Голод: 0
2025-03-27 16:19:11.725789: Олень (17, 8) съел растение на (17, 7). Голод: 0
2025-03-27 16:19:11.739106: Олень (16, 11) съел растение на (15, 12). Голод: 0
2025-03-27 16:19:11.751429: Олень (10, 3) съел растение на (11, 4). Голод: 0
2025-03-27 16:19:11.765794: Олень (4, 17) съел растение на (4, 18). Голод: 0
2025-03-27 16:19:11.779065: Олень (19, 12) съел растение на (19, 11). Голод: 0
2025-03-27 16:19:11.792530: Олень (16, 13) съел растение на (17, 13). Голод: 0
2025-03-27 16:19:11.805793: Олень (15, 11) съел растение на (15, 12). Голод: 0
2025-03-27 16:19:11.819263: Олень (17, 2) съел растение на (18, 2). Голод: 0
2025-03-27 16:19:11.838855: Олень (8, 14) съел растение на (9, 13). Голод: 0
2025-03-27 16:19:11.852081: Олень (16, 15) съел растение на (15, 16). Голод: 0
2025-03-27 16:19:11.869769: Олень (6, 12) съел растение на (5, 13). Голод: 0
2025-03-27 16:19:11.883983: Олень (1, 17) съел растение на (2, 17). Голод: 0
2025-03-27 16:19:11.901584: Олень (12, 7) съел растение на (11, 7). Голод: 0
2025-03-27 16:19:11.916812: Олень (13, 2) съел растение на (14, 2). Голод: 0
2025-03-27 16:19:11.929137: Олень (8, 8) съел растение на (7, 8). Голод: 0
2025-03-27 16:19:11.944388: Олень (18, 6) съел растение на (17, 7). Голод: 0
2025-03-27 16:19:11.956735: Олень (12, 15) съел растение на (12, 14). Голод: 0
2025-03-27 16:19:11.979247: Волк (16, 18) съел Олень на (15, 19). Голод: 0
2025-03-27 16:19:11.993255: Волк (2, 19) съел Олень на (1, 18). Голод: 0
2025-03-27 16:19:12.007249: Волк (16, 11) съел Олень на (15, 11). Голод: 0
2025-03-27 16:19:12.019252: Олень (1, 1) съел растение на (2, 2). Голод: 0
2025-03-27 16:19:12.037249: Олень (15, 16) съел растение на (14, 16). Голод: 0
2025-03-27 16:19:12.050248: Олень (17, 17) съел растение на (18, 17). Голод: 0
2025-03-27 16:19:12.063250: Олень (12, 6) съел растение на (11, 6). Голод: 0
2025-03-27 16:19:12.077247: Олень (1, 11) съел растение на (1, 10). Голод: 0
2025-03-27 16:19:12.090246: Олень (7, 5) съел растение на (7, 6). Голод: 0
2025-03-27 16:19:12.103449: Олень (17, 7) съел растение на (17, 6). Голод: 0
2025-03-27 16:19:12.118734: Олень (16, 12) съел растение на (15, 13). Голод: 0
2025-03-27 16:19:12.155602: Олень (15, 11) съел растение на (14, 10). Голод: 0
2025-03-27 16:19:12.193321: Олень (7, 15) съел растение на (7, 14). Голод: 0
2025-03-27 16:19:12.254448: Олень (13, 3) съел растение на (14, 3). Голод: 0
2025-03-27 16:19:12.408676: Волк (17, 17) съел Олень на (16, 18). Голод: 0
2025-03-27 16:19:12.408676: Волк (16, 14) съел Олень на (16, 15). Голод: 0
2025-03-27 16:19:12.419893: Волк (4, 17) съел Олень на (5, 16). Голод: 0
2025-03-27 16:19:12.430050: Волк (2, 13) съел Олень на (1, 12). Голод: 0
2025-03-27 16:19:12.439218: Олень (7, 12) съел растение на (7, 13). Голод: 0
2025-03-27 16:19:12.449381: Олень (5, 16) съел растение на (6, 17). Голод: 0
2025-03-27 16:19:12.459550: Олень (16, 18) съел растение на (16, 19). Голод: 0
2025-03-27 16:19:12.468818: Олень (10, 12) съел растение на (11, 11). Голод: 0
2025-03-27 16:19:12.477958: Олень (7, 15) съел растение на (8, 16). Голод: 0
2025-03-27 16:19:12.489191: Олень (14, 6) съел растение на (15, 7). Голод: 0
2025-03-27 16:19:13.400938: Волк (3, 16) съел Олень на (2, 17). Голод: 0
2025-03-27 16:19:13.401555: Волк (4, 17) съел Олень на (3, 18). Голод: 0
2025-03-27 16:19:13.410808: Волк (12, 17) съел Олень на (12, 16). Голод: 0
2025-03-27 16:19:13.419936: Волк (10, 17) съел Олень на (10, 16). Голод: 0
2025-03-27 16:19:13.429119: Олень (14, 2) съел растение на (13, 1). Голод: 0
2025-03-27 16:19:13.438394: Олень (3, 18) съел растение на (3, 19). Голод: 0
2025-03-27 16:19:14.410737: Волк (4, 3) съел Олень на (3, 2). Голод: 0
2025-03-27 16:19:14.411475: Олень (8, 12) съел растение на (9, 11). Голод: 0
2025-03-27 16:19:14.420633: Олень (3, 2) съел растение на (2, 3). Голод: 0
2025-03-27 16:19:14.430234: Олень (16, 8) съел растение на (15, 8). Голод: 0
2025-03-27 16:19:15.404683: Олень (15, 9) съел растение на (14, 9). Голод: 0
2025-03-27 16:19:15.404683: Олень (13, 11) съел растение на (12, 11). Голод: 0
2025-03-27 16:19:15.414843: Олень (15, 4) съел растение на (16, 5). Голод: 0
2025-03-27 16:19:15.424064: Олень (12, 0) съел растение на (11, 1). Голод: 0
2025-03-27 16:19:16.413205: Олень (12, 1) съел растение на (11, 0). Голод: 0
2025-03-27 16:19:18.399876: Волк (16, 9) съел Олень на (17, 9). Голод: 0
2025-03-27 16:19:18.399876: Олень (10, 13) съел растение на (11, 13). Голод: 0
2025-03-27 16:19:18.409063: Олень (17, 9) съел растение на (18, 9). Голод: 0
2025-03-27 16:19:18.418268: Олень (11, 2) съел растение на (10, 2). Голод: 0
2025-03-27 16:19:18.427567: Олень (11, 1) съел растение на (10, 0). Голод: 0
